p	V
134.030000	271.909272
132.260000	274.212363
130.550000	276.515454
128.660000	278.818544
127.270000	281.121635
125.620000	283.424726
124.310000	285.588235
122.660000	287.891326
120.920000	289.985045
119.710000	292.148554
118.210000	294.242273
116.810000	296.335992
115.610000	298.429711
114.240000	300.523430
113.170000	302.477567
111.870000	304.361914
110.640000	306.176471
109.660000	308.060818
108.420000	309.945165
107.250000	311.689930
106.420000	313.295115
105.460000	314.970090
104.710000	316.505484
103.840000	318.040877
102.940000	319.436690
102.260000	320.902293
101.390000	322.298106
100.640000	323.624128
100.130000	324.950150
99.350000	326.136590
98.690000	327.253240
98.080000	328.230309
97.520000	329.137587
97.060000	329.905284
96.500000	330.742772
96.050000	331.510469
95.670000	332.208375
95.270000	332.836491
94.870000	333.394816
94.630000	333.813559
94.280000	334.162512
94.090000	334.371884
93.780000	334.581256
93.570000	334.790628
93.420000	334.930209
93.260000	335.000000
93.110000	335.000000
93.050000	335.000000
92.920000	334.790628
92.880000	334.581256
92.800000	334.371884
92.760000	334.022931
92.770000	333.604187
92.760000	333.045862
92.820000	332.417747
92.870000	331.719840
92.990000	330.952144
93.110000	330.184447
93.320000	329.346959
93.630000	328.439681
93.830000	327.462612
94.120000	326.345962
94.450000	325.159521
94.750000	323.973081
95.150000	322.716849
95.480000	321.460618
95.860000	319.995015
96.290000	318.599202
96.660000	316.924227
97.200000	315.388833
97.720000	313.853440
98.180000	312.108674
98.800000	310.503490
99.290000	308.688933
99.940000	306.874377
100.690000	304.990030
101.270000	303.035892
102.060000	301.151545
102.900000	299.057827
103.530000	297.103689
104.460000	295.009970
105.200000	292.916251
106.210000	290.822532
107.210000	288.798604
107.990000	286.565304
109.100000	284.401795
110.200000	282.098704
111.130000	279.795613
112.350000	277.492522
113.390000	275.189432
114.690000	272.956132
116.060000	270.653041
117.190000	268.349950
118.740000	266.046859
120.250000	263.743769
121.470000	261.440678
123.110000	259.137587
124.720000	256.764706
126.070000	254.461615
127.890000	252.158524
129.360000	249.925224
131.100000	247.761715
132.940000	245.598205
134.530000	243.364905
136.420000	241.201396
138.520000	238.968096
139.950000	236.804586
142.090000	234.710867
144.250000	232.756730
145.980000	230.802592
148.100000	228.778664
149.770000	226.824526
151.950000	224.940179
154.130000	223.125623
156.100000	221.311067
158.290000	219.566301
160.610000	217.961117
162.290000	216.286142
164.690000	214.750748
166.750000	213.215354
168.570000	211.679960
170.620000	210.284148
172.910000	208.958126
174.520000	207.632104
176.570000	206.445663
178.600000	205.259222
180.130000	204.142572
182.210000	203.025922
183.710000	202.048853
185.580000	201.071785
187.220000	200.164506
188.680000	199.396810
190.140000	198.768694
191.640000	198.070788
192.700000	197.582253
194.080000	197.023928
195.300000	196.535394
196.090000	196.116650
197.070000	195.767697
197.800000	195.488534
198.640000	195.348953
199.270000	195.139581
199.770000	195.139581
200.410000	195.000000
200.760000	195.000000
200.910000	195.139581
201.290000	195.348953
201.310000	195.558325
201.380000	195.907278
201.260000	196.326022
200.960000	196.814556
200.750000	197.233300
200.340000	197.861416
199.890000	198.419741
199.280000	199.187438
198.480000	199.955135
197.860000	200.722832
196.930000	201.699900
195.980000	202.676969
195.300000	203.723829
194.050000	204.770688
192.910000	205.887338
191.840000	207.073779
190.620000	208.330010
189.180000	209.725823
188.100000	211.051844
186.590000	212.587238
185.160000	214.122632
183.590000	215.727817
181.970000	217.402792
180.530000	219.007976
178.750000	220.682951
176.890000	222.427717
175.520000	224.312064
173.590000	226.196411
171.630000	228.010967
170.040000	230.034895
168.110000	231.989033
166.280000	233.943170
164.800000	236.036889
162.740000	238.200399
160.190000	240.294118
158.480000	242.527418
156.310000	244.690927
154.740000	246.854437
152.710000	249.087737
150.230000	251.390828
148.470000	253.693918
146.370000	255.997009
144.490000	258.300100
142.810000	260.603190
140.780000	262.906281
138.760000	265.209372
137.140000	267.512463
135.410000	269.815553
133.470000	272.118644
131.970000	274.421735
129.950000	276.724826
128.450000	279.027916
126.770000	281.331007
125.130000	283.634098
123.800000	285.797607
122.120000	288.100698
120.520000	290.194417
119.210000	292.357926
117.820000	294.451645
116.800000	296.545364
115.340000	298.639083
113.950000	300.732802
112.910000	302.686939
111.570000	304.571286
110.380000	306.385842
109.450000	308.270189
108.260000	310.014955
107.360000	311.759721
106.290000	313.434696
105.340000	315.109671
104.560000	316.645065
103.620000	318.110668
102.700000	319.646062
101.970000	321.111665
101.200000	322.437687
100.650000	323.763709
99.870000	325.019940
99.170000	326.136590
98.620000	327.323031
98.040000	328.369890
97.400000	329.207378
96.990000	329.975075
96.470000	330.742772
95.950000	331.510469
95.650000	332.278166
95.160000	332.836491
94.840000	333.394816
94.530000	333.813559
94.150000	334.162512
93.940000	334.511466
93.630000	334.720837
93.420000	334.790628
93.290000	334.930209
93.180000	335.000000
93.040000	335.000000
92.890000	335.000000
92.790000	334.790628
92.770000	334.581256
92.720000	334.371884
92.730000	333.953141
92.730000	333.464606
92.750000	332.976072
92.780000	332.417747
92.870000	331.650050
92.950000	330.882353
93.100000	330.114656
93.220000	329.207378
93.490000	328.369890
93.670000	327.323031
93.960000	326.276171
94.270000	325.019940
94.540000	323.833500
94.990000	322.507478
95.310000	321.181456
95.710000	319.925224
96.210000	318.389831
96.570000	316.854437
97.090000	315.319043
97.450000	313.644068
98.040000	312.038883
98.650000	310.224327
99.150000	308.479561
99.830000	306.665005
100.500000	304.780658
101.140000	302.896311
101.940000	300.942173
102.640000	298.848455
103.410000	296.894317
104.300000	294.800598
105.100000	292.706879
106.050000	290.613161
107.110000	288.519442
107.930000	286.355932
108.940000	284.192423
110.110000	281.889332
110.980000	279.586241
112.220000	277.283151
113.110000	274.980060
114.420000	272.746760
115.970000	270.443669
117.240000	268.140578
118.710000	265.837488
120.160000	263.534397
121.400000	261.161515
123.220000	258.858425
124.590000	256.555334
126.280000	254.252243
127.880000	251.949153
129.360000	249.715852
131.090000	247.552343
133.000000	245.319043
134.500000	243.155533
136.390000	240.992024
138.030000	238.758724
140.020000	236.595214
142.200000	234.501496
143.970000	232.547358
146.100000	230.523430
148.270000	228.569292
149.980000	226.615155
152.260000	224.730808
154.480000	222.986042
156.330000	221.101695
158.570000	219.496510
160.660000	217.821535
162.600000	216.216351
164.710000	214.541376
166.530000	213.005982
168.660000	211.470588
170.760000	210.144566
172.540000	208.818544
174.800000	207.562313
176.870000	206.306082
178.460000	205.119641
180.430000	204.002991
182.380000	202.956132
183.990000	201.909272
185.710000	200.932203
187.470000	200.164506
188.780000	199.327019
190.300000	198.629113
191.840000	198.000997
192.860000	197.442672
194.100000	196.884347
195.120000	196.465603
196.130000	196.116650
197.210000	195.767697
197.890000	195.488534
198.670000	195.279163
199.390000	195.139581
199.840000	195.000000
200.420000	195.000000
200.840000	195.000000
201.040000	195.139581
201.150000	195.348953
201.410000	195.697906
201.210000	195.907278
201.080000	196.326022
200.880000	196.814556
200.620000	197.303091
200.240000	197.861416
199.730000	198.559322
199.150000	199.327019
198.420000	200.094716
197.860000	200.862413
196.930000	201.839482
195.880000	202.816550
195.050000	203.933200
193.980000	204.980060
192.840000	206.096710
191.740000	207.283151
190.350000	208.539382
189.250000	209.935194
187.790000	211.400798
186.190000	212.796610
184.900000	214.332004
183.260000	216.006979
181.580000	217.612164
180.390000	219.287139
178.550000	221.031904
176.610000	222.776670
175.300000	224.521436
173.270000	226.475573
171.470000	228.359920
170.040000	230.314058
168.140000	232.337986
166.790000	234.292124
164.860000	236.385842
162.220000	238.549352
160.400000	240.643071
158.410000	242.806580
156.390000	245.039880
154.620000	247.203390
152.220000	249.436690
150.160000	251.739781
148.330000	254.042871
146.390000	256.345962
144.600000	258.649053
142.940000	260.952144
140.690000	263.325025
139.080000	265.558325
137.150000	267.931206
135.130000	270.234297
133.760000	272.537388
131.920000	274.840479
129.960000	277.143569
128.680000	279.307079
126.840000	281.610169
125.020000	283.913260
123.700000	286.216351
122.260000	288.449651
120.960000	290.543370
119.310000	292.706879
117.930000	294.800598
116.800000	296.894317
115.370000	298.988036
114.020000	301.011964
112.800000	302.896311
111.500000	304.850449
110.410000	306.734796
109.250000	308.619143
108.120000	310.363908
107.220000	312.108674
106.170000	313.783649
105.140000	315.388833
104.300000	316.924227
103.420000	318.459621
102.770000	319.925224
101.890000	321.321037
101.190000	322.647059
100.540000	323.973081
99.730000	325.159521
99.020000	326.345962
98.480000	327.462612
97.890000	328.439681
97.290000	329.346959
96.840000	330.184447
96.310000	330.952144
95.930000	331.650050
95.500000	332.417747
95.050000	332.976072
94.720000	333.464606
94.340000	333.953141
94.050000	334.162512
93.830000	334.511466
93.540000	334.720837
93.350000	334.930209
93.130000	335.000000
93.010000	335.000000
92.870000	335.000000
92.770000	334.930209
92.700000	334.790628
92.630000	334.581256
92.590000	334.232303
92.590000	333.953141
92.660000	333.394816
92.690000	332.836491
92.710000	332.208375
92.800000	331.510469
92.940000	330.742772
93.070000	329.905284
93.290000	328.998006
93.500000	328.090728
93.780000	327.113659
94.060000	326.066800
94.320000	324.810568
94.720000	323.624128
95.070000	322.298106
95.400000	320.972084
95.830000	319.576271
96.280000	318.110668
96.680000	316.505484
97.190000	314.970090
97.620000	313.295115
98.190000	311.689930
98.860000	309.945165
99.350000	308.200399
100.040000	306.316052
100.780000	304.431705
101.380000	302.477567
102.110000	300.523430
102.800000	298.499501
103.630000	296.405783
104.530000	294.381854
105.300000	292.357926
106.260000	290.194417
107.300000	288.100698
108.140000	285.937188
109.280000	283.634098
110.200000	281.331007
111.390000	279.097707
112.680000	276.794616
113.730000	274.491525
115.040000	272.188435
116.470000	269.885344
117.610000	267.582253
119.050000	265.279163
120.230000	262.976072
121.750000	260.672981
123.240000	258.369890
124.520000	256.066800
126.390000	253.763709
128.170000	251.460618
129.570000	249.297109
131.430000	247.133599
132.980000	244.830508
135.050000	242.597208
137.090000	240.433699
138.800000	238.339980
140.760000	236.176471
142.870000	234.082752
144.480000	232.058824
146.600000	230.104686
148.780000	228.150548
150.510000	226.266201
152.620000	224.381854
154.400000	222.567298
156.690000	220.822532
159.000000	219.007976
160.880000	217.402792
163.100000	215.727817
165.310000	214.192423
167.020000	212.657029
169.350000	211.261216
171.430000	209.865404
173.160000	208.539382
175.280000	207.213360
177.480000	206.026919
179.050000	204.910269
180.960000	203.723829
182.480000	202.676969
184.200000	201.699900
186.040000	200.862413
187.430000	199.955135
189.090000	199.187438
190.710000	198.559322
191.870000	197.861416
193.200000	197.303091
194.530000	196.814556
195.510000	196.326022
196.410000	196.046859
197.390000	195.697906
198.050000	195.488534
198.930000	195.279163
199.360000	195.139581
199.880000	195.000000
200.420000	195.000000
200.700000	195.139581
201.070000	195.279163
201.190000	195.488534
201.170000	195.697906
201.220000	196.046859
201.080000	196.465603
200.740000	196.884347
200.460000	197.442672
