p	V
93.100000	335.000000
92.790000	335.000000
92.590000	334.860835
92.440000	334.652087
92.270000	334.373757
92.270000	333.817097
92.210000	333.121272
92.230000	332.355865
92.300000	331.381710
92.420000	330.198807
92.600000	329.085487
92.850000	327.763419
93.220000	326.371769
93.490000	324.840954
93.960000	323.101392
94.470000	321.222664
94.980000	319.274354
95.630000	317.326044
96.360000	315.099404
96.960000	312.942346
97.690000	310.646123
98.390000	308.210736
99.290000	305.705765
100.200000	303.061630
101.030000	300.347913
102.010000	297.634195
103.100000	294.920477
104.040000	291.928429
105.360000	289.075547
106.420000	286.013917
107.820000	283.091451
109.280000	280.029821
110.420000	276.968191
111.620000	273.767396
114.210000	270.636183
115.910000	267.435388
117.790000	264.304175
119.750000	261.103380
121.260000	258.041750
124.040000	254.910537
125.830000	251.709742
128.450000	248.508946
130.870000	245.516899
132.800000	242.524851
135.620000	239.602386
138.660000	236.610338
141.040000	233.757455
141.990000	230.974155
147.100000	228.190855
149.830000	225.616302
153.370000	223.111332
156.010000	220.675944
158.720000	218.170974
162.820000	215.874751
165.680000	213.578529
169.970000	211.491054
172.870000	209.542744
175.610000	207.664016
178.880000	205.924453
182.450000	204.254473
185.090000	202.862823
188.120000	201.401590
191.030000	200.218688
193.190000	199.105368
196.210000	198.131213
198.280000	197.296223
200.940000	196.530815
203.060000	195.974155
204.510000	195.556660
206.150000	195.208748
207.760000	195.069583
208.800000	195.000000
209.710000	195.069583
210.270000	195.208748
210.530000	195.556660
210.690000	195.974155
210.600000	196.600398
210.440000	197.365805
209.650000	198.270378
208.940000	199.383698
207.890000	200.427435
206.620000	201.749503
205.330000	203.210736
203.730000	204.811133
201.760000	206.481113
200.180000	208.290258
198.120000	210.168986
196.060000	212.117296
194.240000	214.204771
191.810000	216.431412
189.240000	218.797217
187.270000	221.232604
184.570000	223.807157
182.460000	226.451292
179.710000	229.165010
176.970000	231.809145
174.670000	234.662028
172.040000	237.514911
169.730000	240.437376
167.150000	243.499006
164.300000	246.560636
160.230000	249.622266
157.750000	252.823062
155.020000	255.884692
151.860000	259.015905
149.830000	262.077535
145.950000	265.278330
144.870000	268.409543
140.290000	271.749503
137.580000	274.741551
135.450000	277.803181
132.570000	280.864811
129.560000	283.856859
127.570000	286.918489
125.050000	289.980119
123.190000	292.902584
121.140000	295.894632
118.700000	298.608350
117.280000	301.252485
114.960000	303.827038
113.080000	306.332008
111.710000	308.906561
109.840000	311.411531
108.500000	313.707753
107.120000	315.795229
105.520000	317.813121
104.390000	319.831014
103.090000	321.640159
101.880000	323.518887
100.950000	325.258449
99.870000	326.789264
98.890000	328.111332
98.060000	329.433400
97.150000	330.407555
96.450000	331.520875
95.780000	332.355865
95.130000	333.260437
94.600000	333.886680
93.980000	334.373757
93.600000	334.652087
93.260000	334.860835
92.850000	334.860835
92.580000	334.860835
92.310000	334.860835
92.070000	334.652087
91.960000	334.373757
91.920000	333.817097
91.860000	333.121272
91.870000	332.355865
92.010000	331.381710
92.130000	330.268390
92.330000	329.085487
92.600000	327.902584
92.890000	326.441352
93.300000	324.910537
93.770000	323.170974
94.270000	321.361829
94.870000	319.343936
95.470000	317.395626
96.040000	315.308151
96.770000	313.151093
97.410000	310.715706
98.170000	308.349901
99.080000	305.844930
99.850000	303.200795
100.800000	300.556660
101.860000	297.842942
102.780000	294.990060
103.930000	292.137177
104.970000	289.214712
106.360000	286.222664
107.780000	283.300199
109.000000	280.238569
110.560000	277.176938
112.280000	273.976143
113.670000	270.844930
115.380000	267.574553
117.220000	264.512922
119.140000	261.312127
121.300000	258.250497
123.080000	255.119284
125.420000	251.918489
127.700000	248.787276
129.710000	245.725646
132.860000	242.664016
135.710000	239.671968
137.860000	236.819085
140.530000	234.035785
143.250000	231.182903
146.480000	228.399602
149.920000	225.825050
152.620000	223.180915
156.000000	220.815109
159.390000	218.379722
162.210000	216.083499
165.820000	213.787276
169.120000	211.699801
172.020000	209.612326
175.460000	207.803181
178.210000	205.994036
181.540000	204.393638
184.740000	202.932406
187.120000	201.540755
190.420000	200.357853
193.580000	199.244533
195.770000	198.270378
198.420000	197.296223
200.770000	196.530815
202.810000	195.974155
204.750000	195.556660
206.570000	195.208748
207.540000	195.069583
208.660000	195.000000
209.590000	195.069583
210.190000	195.208748
210.550000	195.556660
210.600000	195.974155
210.480000	196.600398
210.060000	197.296223
209.660000	198.270378
209.020000	199.244533
207.920000	200.357853
206.720000	201.679920
205.180000	203.071571
203.940000	204.602386
202.110000	206.341948
200.200000	208.081511
198.670000	210.099404
196.420000	212.047714
194.030000	214.135189
