Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	1,107
0,0010	1,103
0,0020	1,098
0,0030	1,095
0,0040	1,089
0,0050	1,082
0,0060	1,076
0,0070	1,070
0,0080	1,062
0,0090	1,054
0,0100	1,046
0,0110	1,037
0,0120	1,027
0,0130	1,018
0,0140	1,007
0,0150	0,996
0,0160	0,985
0,0170	0,972
0,0180	0,960
0,0190	0,947
0,0200	0,933
0,0210	0,919
0,0220	0,905
0,0230	0,889
0,0240	0,873
0,0250	0,858
0,0260	0,842
0,0270	0,825
0,0280	0,807
0,0290	0,789
0,0300	0,771
0,0310	0,752
0,0320	0,732
0,0330	0,713
0,0340	0,693
0,0350	0,672
0,0360	0,650
0,0370	0,630
0,0380	0,608
0,0390	0,586
0,0400	0,564
0,0410	0,540
0,0420	0,517
0,0430	0,493
0,0440	0,470
0,0450	0,446
0,0460	0,421
0,0470	0,396
0,0480	0,371
0,0490	0,346
0,0500	0,320
0,0510	0,295
0,0520	0,270
0,0530	0,243
0,0540	0,218
0,0550	0,192
0,0560	0,165
0,0570	0,138
0,0580	0,112
0,0590	0,085
0,0600	0,060
0,0610	0,033
0,0620	0,008
0,0630	-0,019
0,0640	-0,044
0,0650	-0,071
0,0660	-0,097
0,0670	-0,124
0,0680	-0,149
0,0690	-0,174
0,0700	-0,199
0,0710	-0,225
0,0720	-0,250
0,0730	-0,273
0,0740	-0,298
0,0750	-0,322
0,0760	-0,347
0,0770	-0,369
0,0780	-0,393
0,0790	-0,415
0,0800	-0,437
0,0810	-0,459
0,0820	-0,481
0,0830	-0,503
0,0840	-0,523
0,0850	-0,542
0,0860	-0,561
0,0870	-0,580
0,0880	-0,598
0,0890	-0,617
0,0900	-0,635
0,0910	-0,652
0,0920	-0,668
0,0930	-0,683
0,0940	-0,699
0,0950	-0,715
0,0960	-0,729
0,0970	-0,743
0,0980	-0,756
0,0990	-0,768
0,1000	-0,779
0,1010	-0,790
0,1020	-0,801
0,1030	-0,811
0,1040	-0,820
0,1050	-0,829
0,1060	-0,837
0,1070	-0,844
0,1080	-0,850
0,1090	-0,856
0,1100	-0,862
0,1110	-0,867
0,1120	-0,872
0,1130	-0,875
0,1140	-0,878
0,1150	-0,880
0,1160	-0,881
0,1170	-0,881
0,1180	-0,881
0,1190	-0,883
0,1200	-0,881
0,1210	-0,881
0,1220	-0,878
0,1230	-0,877
0,1240	-0,873
0,1250	-0,869
0,1260	-0,864
0,1270	-0,858
0,1280	-0,851
0,1290	-0,845
0,1300	-0,837
0,1310	-0,831
0,1320	-0,822
0,1330	-0,814
0,1340	-0,804
0,1350	-0,793
0,1360	-0,782
0,1370	-0,770
0,1380	-0,757
0,1390	-0,745
0,1400	-0,732
0,1410	-0,718
0,1420	-0,704
0,1430	-0,688
0,1440	-0,672
0,1450	-0,657
0,1460	-0,639
0,1470	-0,624
0,1480	-0,605
0,1490	-0,587
0,1500	-0,569
0,1510	-0,550
0,1520	-0,529
0,1530	-0,511
0,1540	-0,490
0,1550	-0,470
0,1560	-0,449
0,1570	-0,427
0,1580	-0,405
0,1590	-0,382
0,1600	-0,360
0,1610	-0,336
0,1620	-0,314
0,1630	-0,291
0,1640	-0,267
0,1650	-0,242
0,1660	-0,218
0,1670	-0,193
0,1680	-0,168
0,1690	-0,145
0,1700	-0,119
0,1710	-0,094
0,1720	-0,068
0,1730	-0,042
0,1740	-0,016
0,1750	0,009
0,1760	0,035
0,1770	0,061
0,1780	0,086
0,1790	0,113
0,1800	0,138
0,1810	0,165
0,1820	0,190
0,1830	0,215
0,1840	0,242
0,1850	0,267
0,1860	0,294
0,1870	0,319
0,1880	0,344
0,1890	0,369
0,1900	0,393
0,1910	0,418
0,1920	0,441
0,1930	0,465
0,1940	0,490
0,1950	0,514
0,1960	0,537
0,1970	0,561
0,1980	0,583
0,1990	0,603
0,2000	0,625
0,2010	0,646
0,2020	0,668
0,2030	0,688
0,2040	0,708
0,2050	0,729
0,2060	0,748
0,2070	0,767
0,2080	0,785
0,2090	0,804
0,2100	0,822
0,2110	0,839
0,2120	0,855
0,2130	0,872
0,2140	0,886
0,2150	0,902
0,2160	0,917
0,2170	0,931
0,2180	0,946
0,2190	0,958
0,2200	0,971
0,2210	0,982
0,2220	0,993
0,2230	1,005
0,2240	1,016
0,2250	1,026
0,2260	1,037
0,2270	1,046
0,2280	1,054
0,2290	1,062
0,2300	1,068
0,2310	1,074
0,2320	1,082
0,2330	1,087
0,2340	1,093
0,2350	1,098
0,2360	1,103
0,2370	1,106
0,2380	1,109
0,2390	1,112
0,2400	1,115
0,2410	1,117
0,2420	1,118
0,2430	1,118
0,2440	1,118
0,2450	1,118
0,2460	1,118
0,2470	1,118
0,2480	1,117
0,2490	1,115
0,2500	1,112
0,2510	1,109
0,2520	1,106
0,2530	1,101
0,2540	1,096
0,2550	1,092
0,2560	1,085
0,2570	1,079
0,2580	1,073
0,2590	1,065
0,2600	1,059
0,2610	1,051
0,2620	1,041
0,2630	1,032
0,2640	1,023
0,2650	1,012
0,2660	1,001
0,2670	0,990
0,2680	0,979
0,2690	0,966
0,2700	0,953
0,2710	0,939
0,2720	0,927
0,2730	0,913
0,2740	0,897
0,2750	0,883
0,2760	0,866
0,2770	0,850
0,2780	0,833
0,2790	0,815
0,2800	0,798
0,2810	0,781
0,2820	0,762
0,2830	0,743
0,2840	0,723
