Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	1,483
0,0010	1,506
0,0020	1,533
0,0030	1,558
0,0040	1,583
0,0050	1,607
0,0060	1,630
0,0070	1,654
0,0080	1,676
0,0090	1,698
0,0100	1,718
0,0110	1,737
0,0120	1,756
0,0130	1,773
0,0140	1,791
0,0150	1,808
0,0160	1,824
0,0170	1,838
0,0180	1,852
0,0190	1,865
0,0200	1,876
0,0210	1,887
0,0220	1,896
0,0230	1,904
0,0240	1,912
0,0250	1,918
0,0260	1,924
0,0270	1,929
0,0280	1,934
0,0290	1,937
0,0300	1,938
0,0310	1,940
0,0320	1,942
0,0330	1,942
0,0340	1,940
0,0350	1,937
0,0360	1,934
0,0370	1,931
0,0380	1,924
0,0390	1,918
0,0400	1,912
0,0410	1,904
0,0420	1,894
0,0430	1,885
0,0440	1,874
0,0450	1,861
0,0460	1,849
0,0470	1,835
0,0480	1,821
0,0490	1,805
0,0500	1,789
0,0510	1,772
0,0520	1,755
0,0530	1,736
0,0540	1,717
0,0550	1,695
0,0560	1,673
0,0570	1,649
0,0580	1,627
0,0590	1,602
0,0600	1,579
0,0610	1,554
0,0620	1,528
0,0630	1,502
0,0640	1,473
0,0650	1,447
0,0660	1,418
0,0670	1,390
0,0680	1,360
0,0690	1,330
0,0700	1,299
0,0710	1,268
0,0720	1,236
0,0730	1,206
0,0740	1,173
0,0750	1,142
0,0760	1,109
0,0770	1,076
0,0780	1,043
0,0790	1,010
0,0800	0,977
0,0810	0,942
0,0820	0,909
0,0830	0,877
0,0840	0,844
0,0850	0,811
0,0860	0,778
0,0870	0,745
0,0880	0,713
0,0890	0,680
0,0900	0,647
0,0910	0,616
0,0920	0,584
0,0930	0,553
0,0940	0,523
0,0950	0,493
0,0960	0,463
0,0970	0,434
0,0980	0,405
0,0990	0,379
0,1000	0,350
0,1010	0,324
0,1020	0,298
0,1030	0,273
0,1040	0,250
0,1050	0,226
0,1060	0,204
0,1070	0,182
0,1080	0,160
0,1090	0,140
0,1100	0,121
0,1110	0,101
0,1120	0,083
0,1130	0,066
0,1140	0,050
0,1150	0,035
0,1160	0,022
0,1170	0,009
0,1180	-0,002
0,1190	-0,013
0,1200	-0,022
0,1210	-0,031
0,1220	-0,039
0,1230	-0,046
0,1240	-0,050
0,1250	-0,055
0,1260	-0,058
0,1270	-0,061
0,1280	-0,063
0,1290	-0,064
0,1300	-0,064
0,1310	-0,064
0,1320	-0,061
0,1330	-0,060
0,1340	-0,055
0,1350	-0,050
0,1360	-0,044
0,1370	-0,036
0,1380	-0,028
0,1390	-0,019
0,1400	-0,008
0,1410	0,003
0,1420	0,016
0,1430	0,028
0,1440	0,042
0,1450	0,058
0,1460	0,075
0,1470	0,093
0,1480	0,110
0,1490	0,129
0,1500	0,149
0,1510	0,170
0,1520	0,192
0,1530	0,214
0,1540	0,237
0,1550	0,261
0,1560	0,284
0,1570	0,309
0,1580	0,336
0,1590	0,363
0,1600	0,391
0,1610	0,419
0,1620	0,448
0,1630	0,476
0,1640	0,506
0,1650	0,536
0,1660	0,565
0,1670	0,595
0,1680	0,625
0,1690	0,658
0,1700	0,691
0,1710	0,723
0,1720	0,756
0,1730	0,789
0,1740	0,822
0,1750	0,855
0,1760	0,886
0,1770	0,919
0,1780	0,952
0,1790	0,986
0,1800	1,019
0,1810	1,052
0,1820	1,085
0,1830	1,118
0,1840	1,151
0,1850	1,183
0,1860	1,214
0,1870	1,246
0,1880	1,277
0,1890	1,307
0,1900	1,338
0,1910	1,370
0,1920	1,398
0,1930	1,426
0,1940	1,455
0,1950	1,483
0,1960	1,510
0,1970	1,536
0,1980	1,561
0,1990	1,587
0,2000	1,610
0,2010	1,634
0,2020	1,656
0,2030	1,679
0,2040	1,701
0,2050	1,722
0,2060	1,740
0,2070	1,758
0,2080	1,777
0,2090	1,792
0,2100	1,810
0,2110	1,825
0,2120	1,839
0,2130	1,854
0,2140	1,866
0,2150	1,877
0,2160	1,888
0,2170	1,898
0,2180	1,905
0,2190	1,913
0,2200	1,920
0,2210	1,926
0,2220	1,931
0,2230	1,934
0,2240	1,937
0,2250	1,938
0,2260	1,940
0,2270	1,942
0,2280	1,942
0,2290	1,940
0,2300	1,937
0,2310	1,934
0,2320	1,929
0,2330	1,924
0,2340	1,918
0,2350	1,910
0,2360	1,902
0,2370	1,893
0,2380	1,883
0,2390	1,872
0,2400	1,861
0,2410	1,847
0,2420	1,833
0,2430	1,819
0,2440	1,803
0,2450	1,788
0,2460	1,770
0,2470	1,753
0,2480	1,734
0,2490	1,714
0,2500	1,692
0,2510	1,670
0,2520	1,648
0,2530	1,624
0,2540	1,601
0,2550	1,576
0,2560	1,550
0,2570	1,525
0,2580	1,499
0,2590	1,470
0,2600	1,444
0,2610	1,415
0,2620	1,387
0,2630	1,357
0,2640	1,326
0,2650	1,296
0,2660	1,264
0,2670	1,233
0,2680	1,202
0,2690	1,170
0,2700	1,139
0,2710	1,106
0,2720	1,071
0,2730	1,038
0,2740	1,005
0,2750	0,972
0,2760	0,939
0,2770	0,906
0,2780	0,873
0,2790	0,840
0,2800	0,807
0,2810	0,774
0,2820	0,741
0,2830	0,708
0,2840	0,675
0,2850	0,644
0,2860	0,611
0,2870	0,581
0,2880	0,550
0,2890	0,520
0,2900	0,490
0,2910	0,460
0,2920	0,430
0,2930	0,402
0,2940	0,375
0,2950	0,349
0,2960	0,322
0,2970	0,295
0,2980	0,270
0,2990	0,247
0,3000	0,223
0,3010	0,201
0,3020	0,179
0,3030	0,159
0,3040	0,138
