Winkelposition, Messreihe #6
Zeit ( s )	Winkelposition ( rad )
0,0000	-1,191
0,0010	-1,195
0,0020	-1,202
0,0030	-1,206
0,0040	-1,211
0,0050	-1,217
0,0060	-1,222
0,0070	-1,225
0,0080	-1,228
0,0090	-1,232
0,0100	-1,235
0,0110	-1,238
0,0120	-1,239
0,0130	-1,243
0,0140	-1,244
0,0150	-1,246
0,0160	-1,246
0,0170	-1,247
0,0180	-1,247
0,0190	-1,247
0,0200	-1,247
0,0210	-1,247
0,0220	-1,247
0,0230	-1,246
0,0240	-1,244
0,0250	-1,241
0,0260	-1,239
0,0270	-1,236
0,0280	-1,233
0,0290	-1,230
0,0300	-1,227
0,0310	-1,224
0,0320	-1,219
0,0330	-1,214
0,0340	-1,210
0,0350	-1,203
0,0360	-1,199
0,0370	-1,192
0,0380	-1,186
0,0390	-1,180
0,0400	-1,172
0,0410	-1,166
0,0420	-1,158
0,0430	-1,148
0,0440	-1,140
0,0450	-1,133
0,0460	-1,123
0,0470	-1,114
0,0480	-1,104
0,0490	-1,095
0,0500	-1,084
0,0510	-1,073
0,0520	-1,062
0,0530	-1,051
0,0540	-1,040
0,0550	-1,029
0,0560	-1,016
0,0570	-1,005
0,0580	-0,993
0,0590	-0,980
0,0600	-0,968
0,0610	-0,955
0,0620	-0,941
0,0630	-0,928
0,0640	-0,914
0,0650	-0,900
0,0660	-0,886
0,0670	-0,872
0,0680	-0,856
0,0690	-0,842
0,0700	-0,828
0,0710	-0,812
0,0720	-0,798
0,0730	-0,782
0,0740	-0,765
0,0750	-0,749
0,0760	-0,732
0,0770	-0,716
0,0780	-0,701
0,0790	-0,683
0,0800	-0,668
0,0810	-0,650
0,0820	-0,633
0,0830	-0,616
0,0840	-0,598
0,0850	-0,581
0,0860	-0,564
0,0870	-0,547
0,0880	-0,529
0,0890	-0,511
0,0900	-0,493
0,0910	-0,474
0,0920	-0,457
0,0930	-0,438
0,0940	-0,421
0,0950	-0,402
0,0960	-0,385
0,0970	-0,366
0,0980	-0,347
0,0990	-0,330
0,1000	-0,311
0,1010	-0,294
0,1020	-0,275
0,1030	-0,256
0,1040	-0,239
0,1050	-0,220
0,1060	-0,201
0,1070	-0,184
0,1080	-0,167
0,1090	-0,148
0,1100	-0,130
0,1110	-0,112
0,1120	-0,094
0,1130	-0,077
0,1140	-0,060
0,1150	-0,042
0,1160	-0,025
0,1170	-0,008
0,1180	0,009
0,1190	0,027
0,1200	0,044
0,1210	0,060
0,1220	0,077
0,1230	0,093
0,1240	0,110
0,1250	0,126
0,1260	0,141
0,1270	0,157
0,1280	0,173
0,1290	0,187
0,1300	0,203
0,1310	0,217
0,1320	0,232
0,1330	0,247
0,1340	0,261
0,1350	0,275
0,1360	0,289
0,1370	0,303
0,1380	0,316
0,1390	0,328
0,1400	0,342
0,1410	0,355
0,1420	0,368
0,1430	0,382
0,1440	0,393
0,1450	0,405
0,1460	0,416
0,1470	0,429
0,1480	0,440
0,1490	0,451
0,1500	0,462
0,1510	0,473
0,1520	0,482
0,1530	0,493
0,1540	0,503
0,1550	0,512
0,1560	0,522
0,1570	0,531
0,1580	0,540
0,1590	0,550
0,1600	0,558
0,1610	0,567
0,1620	0,575
0,1630	0,583
0,1640	0,591
0,1650	0,598
0,1660	0,605
0,1670	0,613
0,1680	0,619
0,1690	0,625
0,1700	0,633
0,1710	0,639
0,1720	0,646
0,1730	0,650
0,1740	0,657
0,1750	0,663
0,1760	0,668
0,1770	0,674
0,1780	0,679
0,1790	0,683
0,1800	0,686
0,1810	0,691
0,1820	0,696
0,1830	0,701
0,1840	0,704
0,1850	0,708
0,1860	0,712
0,1870	0,715
0,1880	0,718
0,1890	0,721
0,1900	0,724
0,1910	0,726
0,1920	0,729
0,1930	0,732
0,1940	0,734
0,1950	0,735
0,1960	0,738
0,1970	0,740
0,1980	0,741
0,1990	0,743
0,2000	0,745
0,2010	0,746
0,2020	0,746
0,2030	0,748
0,2040	0,749
0,2050	0,749
0,2060	0,749
0,2070	0,751
0,2080	0,751
0,2090	0,751
0,2100	0,751
0,2110	0,751
0,2120	0,751
0,2130	0,751
0,2140	0,751
0,2150	0,751
0,2160	0,749
0,2170	0,749
0,2180	0,748
0,2190	0,746
0,2200	0,745
0,2210	0,743
0,2220	0,743
0,2230	0,741
0,2240	0,738
0,2250	0,737
0,2260	0,735
0,2270	0,732
0,2280	0,730
0,2290	0,727
0,2300	0,726
0,2310	0,723
0,2320	0,719
0,2330	0,716
0,2340	0,713
0,2350	0,708
0,2360	0,705
0,2370	0,702
0,2380	0,697
0,2390	0,694
0,2400	0,690
0,2410	0,685
0,2420	0,680
0,2430	0,675
0,2440	0,671
0,2450	0,666
0,2460	0,660
0,2470	0,655
0,2480	0,649
0,2490	0,642
0,2500	0,636
0,2510	0,630
0,2520	0,624
0,2530	0,617
0,2540	0,609
0,2550	0,603
0,2560	0,595
0,2570	0,589
0,2580	0,581
0,2590	0,573
0,2600	0,565
0,2610	0,558
0,2620	0,548
0,2630	0,540
0,2640	0,531
0,2650	0,522
0,2660	0,512
0,2670	0,503
0,2680	0,493
0,2690	0,482
0,2700	0,473
0,2710	0,462
0,2720	0,451
0,2730	0,440
0,2740	0,429
0,2750	0,418
0,2760	0,405
0,2770	0,394
0,2780	0,382
0,2790	0,369
0,2800	0,357
0,2810	0,344
0,2820	0,331
0,2830	0,317
0,2840	0,303
0,2850	0,289
0,2860	0,276
0,2870	0,261
0,2880	0,247
0,2890	0,232
0,2900	0,217
0,2910	0,203
0,2920	0,187
0,2930	0,171
0,2940	0,156
0,2950	0,140
0,2960	0,123
0,2970	0,107
0,2980	0,090
0,2990	0,074
0,3000	0,055
0,3010	0,039
0,3020	0,022
0,3030	0,005
0,3040	-0,013
0,3050	-0,031
0,3060	-0,049
0,3070	-0,068
0,3080	-0,085
0,3090	-0,104
0,3100	-0,123
0,3110	-0,140
0,3120	-0,159
0,3130	-0,178
0,3140	-0,196
0,3150	-0,215
0,3160	-0,234
0,3170	-0,254
0,3180	-0,272
0,3190	-0,291
0,3200	-0,309
0,3210	-0,328
0,3220	-0,349
0,3230	-0,368
0,3240	-0,386
0,3250	-0,405
0,3260	-0,424
0,3270	-0,443
0,3280	-0,462
0,3290	-0,481
0,3300	-0,500
0,3310	-0,520
0,3320	-0,539
0,3330	-0,558
0,3340	-0,575
0,3350	-0,594
0,3360	-0,611
0,3370	-0,630
0,3380	-0,647
0,3390	-0,666
0,3400	-0,683
0,3410	-0,701
0,3420	-0,718
0,3430	-0,735
0,3440	-0,752
0,3450	-0,770
0,3460	-0,785
0,3470	-0,803
0,3480	-0,818
0,3490	-0,834
0,3500	-0,851
0,3510	-0,866
