Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
0,0000	1,308
0,0500	1,764
0,1000	1,481
0,1500	0,506
0,2000	-0,196
0,2500	0,016
0,3000	0,870
0,3500	1,604
0,4000	1,736
0,4500	1,052
0,5000	0,069
0,5500	-0,210
0,6000	0,396
0,6500	1,285
0,7000	1,759
0,7500	1,506
0,8000	0,540
0,8500	-0,187
0,9000	-0,005
0,9500	0,842
1,0000	1,591
1,0500	1,744
1,1000	1,081
1,1500	0,091
1,2000	-0,217
1,2500	0,369
1,3000	1,261
1,3500	1,755
1,4000	1,524
1,4500	0,570
1,5000	-0,178
1,5500	-0,025
1,6000	0,814
1,6500	1,576
1,7000	1,750
1,7500	1,112
1,8000	0,113
1,8500	-0,221
1,9000	0,341
1,9500	1,236
2,0000	1,748
2,0500	1,546
2,1000	0,602
2,1500	-0,167
2,2000	-0,042
2,2500	0,784
2,3000	1,557
2,3500	1,756
2,4000	1,148
2,4500	0,141
2,5000	-0,226
2,5500	0,314
2,6000	1,214
2,6500	1,742
2,7000	1,563
2,7500	0,635
2,8000	-0,157
2,8500	-0,060
2,9000	0,756
2,9500	1,539
3,0000	1,761
3,0500	1,180
3,1000	0,168
3,1500	-0,229
3,2000	0,286
3,2500	1,186
3,3000	1,736
3,3500	1,583
3,4000	0,671
3,4500	-0,143
3,5000	-0,079
3,5500	0,723
3,6000	1,521
3,6500	1,766
3,7000	1,213
3,7500	0,198
3,8000	-0,231
3,8500	0,254
3,9000	1,156
3,9500	1,725
4,0000	1,607
4,0500	0,715
4,1000	-0,126
4,1500	-0,097
4,2000	0,690
4,2500	1,502
4,3000	1,770
4,3500	1,244
4,4000	0,229
4,4500	-0,232
4,5000	0,226
4,5500	1,126
4,6000	1,715
4,6500	1,624
4,7000	0,749
4,7500	-0,108
4,8000	-0,115
4,8500	0,655
4,9000	1,480
4,9500	1,772
5,0000	1,274
5,0500	0,258
5,1000	-0,231
5,1500	0,201
5,2000	1,103
5,2500	1,706
5,3000	1,640
5,3500	0,782
5,4000	-0,094
5,4500	-0,127
5,5000	0,628
5,5500	1,461
5,6000	1,773
5,6500	1,305
5,7000	0,289
5,7500	-0,229
5,8000	0,173
5,8500	1,071
5,9000	1,696
5,9500	1,657
6,0000	0,822
6,0500	-0,074
6,1000	-0,143
6,1500	0,595
6,2000	1,439
6,2500	1,773
6,3000	1,337
6,3500	0,325
6,4000	-0,226
6,4500	0,140
6,5000	1,035
6,5500	1,681
6,6000	1,674
6,6500	0,866
6,7000	-0,052
6,7500	-0,160
6,8000	0,556
6,8500	1,411
6,9000	1,773
6,9500	1,370
7,0000	0,361
7,0500	-0,223
7,1000	0,116
7,1500	1,007
7,2000	1,668
7,2500	1,690
7,3000	0,905
7,3500	-0,028
7,4000	-0,173
7,4500	0,522
7,5000	1,387
7,5500	1,772
7,6000	1,400
7,6500	0,401
7,7000	-0,218
7,7500	0,088
7,8000	0,971
7,8500	1,652
7,9000	1,704
7,9500	0,946
8,0000	-0,003
8,0500	-0,185
8,1000	0,487
8,1500	1,360
8,2000	1,770
8,2500	1,429
8,3000	0,435
8,3500	-0,210
8,4000	0,058
8,4500	0,928
8,5000	1,632
8,5500	1,720
8,6000	0,991
8,6500	0,027
8,7000	-0,198
8,7500	0,446
8,8000	1,327
8,8500	1,766
8,9000	1,469
8,9500	0,489
9,0000	-0,201
9,0500	0,027
9,1000	0,892
9,1500	1,615
9,2000	1,731
9,2500	1,035
9,3000	0,057
9,3500	-0,209
9,4000	0,407
9,4500	1,291
9,5000	1,759
9,5500	1,502
9,6000	0,536
9,6500	-0,185
9,7000	-0,006
9,7500	0,842
9,8000	1,590
9,8500	1,744
9,9000	1,090
9,9500	0,097
10,0000	-0,218
10,0500	0,360
10,1000	1,253
10,1500	1,751
10,2000	1,535
10,2500	0,586
10,3000	-0,171
10,3500	-0,033
10,4000	0,801
10,4500	1,566
10,5000	1,755
10,5500	1,137
10,6000	0,132
10,6500	-0,225
10,7000	0,319
10,7500	1,219
10,8000	1,744
10,8500	1,563
10,9000	0,638
10,9500	-0,156
11,0000	-0,060
11,0500	0,756
11,1000	1,541
11,1500	1,761
11,2000	1,180
11,2500	0,171
11,3000	-0,229
11,3500	0,280
11,4000	1,183
11,4500	1,733
11,5000	1,590
11,5500	0,683
11,6000	-0,138
11,6500	-0,085
11,7000	0,713
11,7500	1,516
11,8000	1,767
11,8500	1,221
11,9000	0,207
11,9500	-0,231
12,0000	0,245
12,0500	1,145
12,1000	1,722
12,1500	1,616
12,2000	0,735
12,2500	-0,115
12,3000	-0,108
12,3500	0,669
12,4000	1,491
12,4500	1,772
12,5000	1,266
12,5500	0,253
12,6000	-0,231
12,6500	0,204
12,7000	1,104
12,7500	1,706
12,8000	1,641
12,8500	0,787
12,9000	-0,090
12,9500	-0,132
13,0000	0,622
13,0500	1,456
13,1000	1,773
13,1500	1,315
13,2000	0,300
13,2500	-0,229
13,3000	0,162
13,3500	1,057
13,4000	1,690
13,4500	1,665
13,5000	0,842
13,5500	-0,061
13,6000	-0,152
13,6500	0,573
13,7000	1,422
13,7500	1,773
13,8000	1,359
13,8500	0,350
13,9000	-0,225
13,9500	0,124
14,0000	1,018
14,0500	1,673
14,1000	1,684
14,1500	0,895
14,2000	-0,033
14,2500	-0,171
14,3000	0,528
14,3500	1,390
14,4000	1,773
14,4500	1,398
14,5000	0,394
14,5500	-0,218
14,6000	0,090
14,6500	0,974
14,7000	1,656
14,7500	1,703
14,8000	0,939
14,8500	-0,005
14,9000	-0,185
14,9500	0,485
15,0000	1,357
15,0500	1,770
15,1000	1,433
15,1500	0,438
15,2000	-0,212
15,2500	0,060
15,3000	0,935
15,3500	1,634
15,4000	1,718
15,4500	0,991
15,5000	0,025
15,5500	-0,198
15,6000	0,449
15,6500	1,329
15,7000	1,767
15,7500	1,467
15,8000	0,485
15,8500	-0,201
15,9000	0,028
15,9500	0,889
16,0000	1,613
16,0500	1,733
16,1000	1,040
16,1500	0,061
16,2000	-0,210
16,2500	0,404
16,3000	1,293
16,3500	1,761
16,4000	1,500
16,4500	0,536
16,5000	-0,187
16,5500	-0,006
16,6000	0,839
16,6500	1,587
16,7000	1,745
16,7500	1,095
16,8000	0,101
16,8500	-0,218
16,9000	0,357
16,9500	1,250
17,0000	1,751
17,0500	1,541
17,1000	0,597
17,1500	-0,170
17,2000	-0,038
17,2500	0,792
17,3000	1,563
17,3500	1,755
17,4000	1,144
17,4500	0,141
17,5000	-0,226
17,5500	0,309
17,6000	1,208
17,6500	1,740
17,7000	1,574
17,7500	0,655
17,8000	-0,148
17,8500	-0,072
17,9000	0,738
17,9500	1,532
18,0000	1,764
18,0500	1,199
18,1000	0,187
18,1500	-0,231
18,2000	0,264
18,2500	1,166
18,3000	1,728
18,3500	1,602
18,4000	0,705
18,4500	-0,127
18,5000	-0,096
18,5500	0,694
18,6000	1,503
18,6500	1,770
18,7000	1,247
18,7500	0,232
18,8000	-0,231
18,8500	0,223
18,9000	1,125
18,9500	1,715
19,0000	1,630
19,0500	0,765
19,1000	-0,102
19,1500	-0,121
19,2000	0,644
19,2500	1,470
19,3000	1,773
19,3500	1,297
19,4000	0,281
19,4500	-0,231
19,5000	0,178
19,5500	1,076
19,6000	1,696
19,6500	1,659
19,7000	0,823
19,7500	-0,072
19,8000	-0,146
19,8500	0,589
19,9000	1,434
19,9500	1,775
20,0000	1,345
20,0500	0,335
20,1000	-0,226
20,1500	0,137
20,2000	1,030
20,2500	1,678
20,3000	1,681
20,3500	0,880
20,4000	-0,042
20,4500	-0,165
20,5000	0,548
20,5500	1,404
20,6000	1,775
20,6500	1,384
20,7000	0,380
20,7500	-0,220
20,8000	0,101
20,8500	0,983
20,9000	1,657
20,9500	1,701
21,0000	0,936
21,0500	-0,006
21,1000	-0,184
21,1500	0,493
21,2000	1,365
21,2500	1,770
21,3000	1,431
21,3500	0,438
21,4000	-0,210
21,4500	0,055
21,5000	0,928
21,5500	1,630
21,6000	1,722
21,6500	1,002
21,7000	0,033
21,7500	-0,201
21,8000	0,438
21,8500	1,316
21,9000	1,764
21,9500	1,481
22,0000	0,506
22,0500	-0,195
22,1000	0,014
22,1500	0,873
22,2000	1,607
22,2500	1,737
22,3000	1,062
22,3500	0,077
22,4000	-0,214
22,4500	0,382
22,5000	1,272
22,5500	1,756
22,6000	1,521
22,6500	0,567
22,7000	-0,178
22,7500	-0,022
22,8000	0,818
22,8500	1,576
22,9000	1,751
22,9500	1,123
23,0000	0,123
23,0500	-0,225
23,1000	0,327
23,1500	1,224
23,2000	1,745
23,2500	1,561
23,3000	0,635
23,3500	-0,157
23,4000	-0,058
23,4500	0,759
23,5000	1,543
23,5500	1,762
23,6000	1,183
23,6500	0,173
23,7000	-0,229
23,7500	0,280
23,8000	1,181
23,8500	1,733
23,9000	1,598
23,9500	0,699
24,0000	-0,132
24,0500	-0,091
24,1000	0,702
24,1500	1,508
24,2000	1,770
24,2500	1,239
24,3000	0,226
24,3500	-0,232
24,4000	0,229
24,4500	1,129
24,5000	1,715
24,5500	1,629
24,6000	0,760
24,6500	-0,102
24,7000	-0,121
24,7500	0,644
24,8000	1,473
24,8500	1,773
24,9000	1,296
24,9500	0,281
25,0000	-0,231
25,0500	0,178
25,1000	1,074
25,1500	1,695
25,2000	1,659
25,2500	0,828
25,3000	-0,069
25,3500	-0,148
25,4000	0,587
25,4500	1,431
25,5000	1,775
25,5500	1,354
25,6000	0,344
25,6500	-0,225
25,7000	0,127
25,7500	1,018
25,8000	1,673
25,8500	1,687
25,9000	0,898
25,9500	-0,030
26,0000	-0,173
26,0500	0,525
26,1000	1,387
26,1500	1,773
26,2000	1,406
26,2500	0,407
26,3000	-0,217
26,3500	0,079
26,4000	0,961
26,4500	1,648
26,5000	1,709
26,5500	0,961
26,6000	0,006
26,6500	-0,190
26,7000	0,468
26,7500	1,343
26,8000	1,769
26,8500	1,455
26,9000	0,467
26,9500	-0,206
27,0000	0,041
27,0500	0,909
27,1000	1,623
27,1500	1,729
27,2000	1,024
27,2500	0,050
27,3000	-0,206
27,3500	0,413
27,4000	1,301
27,4500	1,762
27,5000	1,497
27,5500	0,531
27,6000	-0,188
27,6500	-0,002
27,7000	0,848
27,7500	1,591
27,8000	1,745
27,8500	1,095
27,9000	0,101
27,9500	-0,220
28,0000	0,358
28,0500	1,252
28,1000	1,753
28,1500	1,539
