Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
35,0000	159,80
35,1000	100,48
35,2000	143,34
35,3000	184,12
35,4000	102,79
35,5000	136,32
35,6000	186,10
35,7000	105,86
35,8000	111,19
35,9000	186,42
36,0000	130,28
36,1000	107,39
36,2000	170,32
36,3000	137,63
36,4000	98,63
36,5000	163,80
36,6000	170,46
36,7000	98,44
36,8000	132,77
36,9000	176,36
37,0000	107,85
37,1000	126,63
37,2000	186,12
37,3000	112,37
37,4000	105,62
37,5000	184,11
37,6000	117,87
37,7000	102,88
37,8000	180,47
37,9000	149,32
38,0000	100,69
38,1000	153,45
38,2000	156,89
38,3000	99,75
38,4000	146,36
38,5000	182,91
38,6000	101,64
38,7000	118,29
38,8000	185,58
38,9000	120,81
39,0000	113,37
39,1000	178,70
39,2000	126,97
39,3000	100,00
39,4000	173,25
39,5000	134,03
39,6000	98,90
39,7000	167,18
39,8000	167,39
39,9000	98,41
40,0000	135,95
40,1000	173,70
40,2000	106,03
40,3000	129,72
40,4000	186,73
40,5000	109,89
40,6000	107,30
40,7000	185,54
40,8000	137,68
40,9000	104,23
41,0000	163,81
41,1000	145,46
41,2000	98,46
41,3000	157,14
41,4000	176,57
41,5000	99,11
41,6000	126,56
41,7000	181,31
41,8000	100,59
41,9000	120,89
42,0000	184,61
42,1000	118,05
42,2000	115,47
42,3000	180,72
42,4000	124,07
42,5000	100,71
42,6000	175,93
42,7000	156,86
42,8000	99,26
42,9000	146,41
43,0000	164,31
43,1000	101,61
43,2000	139,32
43,3000	185,72
43,4000	104,44
43,5000	113,17
43,6000	186,96
43,7000	108,18
43,8000	108,83
43,9000	186,35
44,0000	134,89
44,1000	105,33
44,2000	166,46
44,3000	142,69
44,4000	98,40
44,5000	159,67
44,6000	174,67
44,7000	98,85
44,8000	128,79
44,9000	180,08
45,0000	110,84
45,1000	122,67
45,2000	185,21
45,3000	116,25
45,4000	103,56
45,5000	181,88
45,6000	147,52
45,7000	101,17
45,8000	177,41
45,9000	155,24
46,0000	99,53
46,1000	148,06
46,2000	162,96
46,3000	101,21
46,4000	140,76
46,5000	185,62
46,6000	103,89
46,7000	114,06
46,8000	187,09
46,9000	126,50
47,0000	109,62
47,1000	174,29
47,2000	133,55
47,3000	98,92
47,4000	167,84
47,5000	167,25
47,6000	98,37
47,7000	136,53
47,8000	173,79
47,9000	98,68
48,0000	129,87
48,1000	179,25
48,2000	110,00
48,3000	123,85
48,4000	185,79
48,5000	115,04
48,6000	104,15
48,7000	182,80
48,8000	145,90
48,9000	101,57
49,0000	157,11
49,1000	153,59
49,2000	99,16
49,3000	149,82
49,4000	181,76
49,5000	100,69
49,6000	120,44
49,7000	185,16
49,8000	118,44
49,9000	115,35
50,0000	186,89
50,1000	124,89
50,2000	110,61
50,3000	175,93
50,4000	131,43
50,5000	99,17
50,6000	169,98
50,7000	165,17
50,8000	98,49
50,9000	138,91
51,0000	171,89
51,1000	104,69
51,2000	132,04
51,3000	187,32
51,4000	108,54
51,5000	108,67
51,6000	186,67
51,7000	135,27
51,8000	105,26
51,9000	166,68
52,0000	142,97
52,1000	102,41
52,2000	159,55
52,3000	151,12
52,4000	98,88
52,5000	152,17
52,6000	180,48
52,7000	100,11
52,8000	122,41
52,9000	184,46
53,0000	116,56
53,1000	116,96
53,2000	182,13
53,3000	122,69
53,4000	101,15
53,5000	177,77
53,6000	155,44
53,7000	99,52
53,8000	148,39
53,9000	162,67
54,0000	101,06
54,1000	141,15
54,2000	169,95
54,3000	103,70
54,4000	134,32
54,5000	187,30
54,6000	107,22
54,7000	109,92
54,8000	187,17
54,9000	133,35
55,0000	106,17
55,1000	168,52
55,2000	140,96
55,3000	98,38
55,4000	161,72
55,5000	173,63
55,6000	98,61
55,7000	130,44
55,8000	179,32
55,9000	109,80
56,0000	124,11
56,1000	186,35
56,2000	114,77
56,3000	118,57
56,4000	183,42
56,5000	121,00
56,6000	101,74
56,7000	179,40
56,8000	153,27
56,9000	99,94
57,0000	150,61
57,1000	160,88
57,2000	100,54
57,3000	143,23
57,4000	185,36
57,5000	102,91
57,6000	115,67
57,7000	187,23
57,8000	124,38
57,9000	111,11
58,0000	176,59
58,1000	131,31
58,2000	99,22
58,3000	170,63
58,4000	138,82
58,5000	98,53
58,6000	163,70
58,7000	172,20
58,8000	98,46
58,9000	132,23
59,0000	177,90
59,1000	108,45
59,2000	125,95
59,3000	186,99
59,4000	113,33
59,5000	105,22
59,6000	184,42
59,7000	143,64
59,8000	102,32
59,9000	159,56
60,0000	151,41
60,1000	98,87
60,2000	152,19
60,3000	181,05
60,4000	100,19
60,5000	144,62
60,6000	184,80
60,7000	102,41
60,8000	116,33
60,9000	187,04
61,0000	123,53
61,1000	111,61
61,2000	177,17
61,3000	130,50
61,4000	99,32
61,5000	171,31
61,6000	164,34
61,7000	98,53
61,8000	139,97
61,9000	171,64
62,0000	104,41
62,1000	132,96
62,2000	187,74
62,3000	108,13
62,4000	109,01
62,5000	187,15
62,6000	112,85
62,7000	105,47
62,8000	184,86
62,9000	142,91
63,0000	102,60
63,1000	160,67
63,2000	150,39
63,3000	98,76
63,4000	153,33
63,5000	180,53
63,6000	99,91
63,7000	123,15
63,8000	184,43
63,9000	115,99
64,0000	117,56
64,1000	182,96
64,2000	122,20
64,3000	101,28
64,4000	178,36
64,5000	155,20
64,6000	99,59
64,7000	172,85
64,8000	162,79
64,9000	98,62
65,0000	141,78
65,1000	170,14
65,2000	103,68
65,3000	134,44
65,4000	187,76
65,5000	107,40
65,6000	109,92
65,7000	187,63
65,8000	133,38
65,9000	106,20
66,0000	168,81
66,1000	141,27
66,2000	98,44
66,3000	161,98
66,4000	174,06
66,5000	98,63
66,6000	130,28
66,7000	179,88
66,8000	99,69
66,9000	123,99
67,0000	184,15
67,1000	115,20
67,2000	118,32
67,3000	183,66
67,4000	121,29
67,5000	101,58
67,6000	179,34
67,7000	154,13
67,8000	99,82
67,9000	150,22
68,0000	161,77
68,1000	100,68
68,2000	142,64
68,3000	186,04
