Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
0,0000	110,26
0,0010	110,78
0,0020	111,41
0,0030	112,07
0,0040	112,90
0,0050	113,45
0,0060	114,23
0,0070	114,96
0,0080	115,59
0,0090	116,47
0,0100	117,11
0,0110	117,93
0,0120	118,72
0,0130	119,42
0,0140	120,22
0,0150	120,95
0,0160	121,86
0,0170	122,68
0,0180	123,42
0,0190	124,33
0,0200	125,25
0,0210	126,03
0,0220	127,10
0,0230	127,80
0,0240	128,80
0,0250	129,84
0,0260	130,74
0,0270	131,67
0,0280	132,78
0,0290	133,61
0,0300	134,68
0,0310	135,56
0,0320	136,59
0,0330	137,68
0,0340	138,50
0,0350	139,61
0,0360	140,66
0,0370	141,52
0,0380	142,62
0,0390	143,71
0,0400	144,58
0,0410	145,74
0,0420	146,88
0,0430	147,81
0,0440	148,86
0,0450	149,71
0,0460	150,82
0,0470	151,90
0,0480	152,78
0,0490	153,88
0,0500	154,94
0,0510	155,86
0,0520	156,88
0,0530	157,98
0,0540	158,80
0,0550	159,80
0,0560	160,94
0,0570	161,76
0,0580	162,79
0,0590	163,76
0,0600	164,57
0,0610	165,52
0,0620	166,33
0,0630	167,27
0,0640	168,17
0,0650	168,96
0,0660	169,90
0,0670	170,75
0,0680	171,53
0,0690	172,32
0,0700	173,19
0,0710	173,90
0,0720	174,75
0,0730	175,61
0,0740	176,20
0,0750	176,98
0,0760	177,65
0,0770	178,38
0,0780	179,00
0,0790	179,59
0,0800	180,28
0,0810	180,93
0,0820	181,50
0,0830	182,10
0,0840	182,74
0,0850	183,22
0,0860	183,64
0,0870	184,28
0,0880	184,67
0,0890	185,18
0,0900	185,52
0,0910	186,01
0,0920	186,50
0,0930	186,83
0,0940	187,19
0,0950	187,61
0,0960	187,93
0,0970	188,26
0,0980	188,47
0,0990	188,84
0,1000	189,01
0,1010	189,28
0,1020	189,57
0,1030	189,78
0,1040	189,96
0,1050	190,09
0,1060	190,32
0,1070	190,52
0,1080	190,64
0,1090	190,72
0,1100	190,83
0,1110	191,00
0,1120	190,89
0,1130	190,95
0,1140	191,02
0,1150	190,92
0,1160	190,94
0,1170	190,90
0,1180	190,75
0,1190	190,70
0,1200	190,61
0,1210	190,61
0,1220	190,36
0,1230	190,17
0,1240	190,13
0,1250	189,88
0,1260	189,87
0,1270	189,50
0,1280	189,27
0,1290	188,99
0,1300	188,76
0,1310	188,47
0,1320	188,20
0,1330	187,77
0,1340	187,39
0,1350	187,12
0,1360	186,84
0,1370	186,22
0,1380	186,02
0,1390	185,46
0,1400	185,04
0,1410	184,60
0,1420	184,14
0,1430	183,75
0,1440	183,14
0,1450	182,52
