Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
0,0000	0,284
0,0010	0,243
0,0020	0,198
0,0030	0,152
0,0040	0,108
0,0050	0,066
0,0060	0,024
0,0070	-0,020
0,0080	-0,064
0,0090	-0,107
0,0100	-0,149
0,0110	-0,188
0,0120	-0,226
0,0130	-0,264
0,0140	-0,302
0,0150	-0,338
0,0160	-0,372
0,0170	-0,405
0,0180	-0,435
0,0190	-0,465
0,0200	-0,493
0,0210	-0,520
0,0220	-0,547
0,0230	-0,570
0,0240	-0,592
0,0250	-0,613
0,0260	-0,630
0,0270	-0,646
0,0280	-0,660
0,0290	-0,674
0,0300	-0,685
0,0310	-0,694
0,0320	-0,702
0,0330	-0,705
0,0340	-0,708
0,0350	-0,710
0,0360	-0,710
0,0370	-0,708
0,0380	-0,705
0,0390	-0,701
0,0400	-0,693
0,0410	-0,683
0,0420	-0,672
0,0430	-0,658
0,0440	-0,641
0,0450	-0,625
0,0460	-0,606
0,0470	-0,586
0,0480	-0,564
0,0490	-0,539
0,0500	-0,512
0,0510	-0,484
0,0520	-0,456
0,0530	-0,424
0,0540	-0,393
0,0550	-0,360
0,0560	-0,325
0,0570	-0,289
0,0580	-0,251
0,0590	-0,212
0,0600	-0,173
0,0610	-0,134
0,0620	-0,091
0,0630	-0,050
0,0640	-0,006
0,0650	0,036
0,0660	0,080
0,0670	0,124
0,0680	0,170
0,0690	0,215
0,0700	0,261
0,0710	0,306
0,0720	0,352
0,0730	0,396
0,0740	0,441
0,0750	0,487
0,0760	0,533
0,0770	0,576
0,0780	0,619
0,0790	0,661
0,0800	0,704
0,0810	0,745
0,0820	0,785
0,0830	0,825
0,0840	0,862
0,0850	0,898
0,0860	0,933
0,0870	0,969
0,0880	1,002
0,0890	1,035
0,0900	1,065
0,0910	1,093
0,0920	1,120
0,0930	1,145
0,0940	1,169
0,0950	1,189
0,0960	1,210
0,0970	1,227
0,0980	1,243
0,0990	1,257
0,1000	1,269
0,1010	1,280
0,1020	1,288
0,1030	1,294
0,1040	1,299
0,1050	1,301
0,1060	1,302
0,1070	1,301
0,1080	1,299
0,1090	1,294
0,1100	1,288
0,1110	1,279
0,1120	1,268
0,1130	1,255
0,1140	1,239
0,1150	1,224
0,1160	1,205
0,1170	1,184
0,1180	1,161
0,1190	1,137
0,1200	1,111
0,1210	1,084
0,1220	1,056
0,1230	1,026
0,1240	0,994
0,1250	0,960
0,1260	0,925
0,1270	0,888
0,1280	0,850
0,1290	0,811
0,1300	0,773
0,1310	0,732
0,1320	0,691
0,1330	0,649
0,1340	0,605
0,1350	0,561
0,1360	0,517
0,1370	0,471
0,1380	0,427
0,1390	0,382
0,1400	0,338
0,1410	0,292
0,1420	0,247
0,1430	0,199
0,1440	0,156
0,1450	0,112
0,1460	0,068
0,1470	0,025
0,1480	-0,019
0,1490	-0,063
0,1500	-0,105
0,1510	-0,148
0,1520	-0,187
0,1530	-0,225
0,1540	-0,262
0,1550	-0,298
0,1560	-0,335
0,1570	-0,371
0,1580	-0,404
0,1590	-0,434
0,1600	-0,463
0,1610	-0,492
0,1620	-0,518
0,1630	-0,545
0,1640	-0,570
0,1650	-0,592
0,1660	-0,611
0,1670	-0,630
0,1680	-0,644
0,1690	-0,660
0,1700	-0,672
0,1710	-0,685
0,1720	-0,694
0,1730	-0,701
0,1740	-0,705
0,1750	-0,708
0,1760	-0,708
0,1770	-0,708
0,1780	-0,708
0,1790	-0,705
0,1800	-0,701
0,1810	-0,693
0,1820	-0,683
0,1830	-0,672
0,1840	-0,658
0,1850	-0,642
0,1860	-0,625
0,1870	-0,608
0,1880	-0,587
0,1890	-0,565
0,1900	-0,540
0,1910	-0,514
0,1920	-0,485
0,1930	-0,457
0,1940	-0,427
0,1950	-0,396
0,1960	-0,361
0,1970	-0,327
0,1980	-0,291
0,1990	-0,253
0,2000	-0,215
0,2010	-0,176
0,2020	-0,135
0,2030	-0,094
0,2040	-0,052
0,2050	-0,009
0,2060	0,033
0,2070	0,077
0,2080	0,121
0,2090	0,167
0,2100	0,212
0,2110	0,259
0,2120	0,303
0,2130	0,349
0,2140	0,393
0,2150	0,438
0,2160	0,484
0,2170	0,529
0,2180	0,573
0,2190	0,617
0,2200	0,660
0,2210	0,701
0,2220	0,741
0,2230	0,782
0,2240	0,822
0,2250	0,859
0,2260	0,897
0,2270	0,931
0,2280	0,966
0,2290	0,999
0,2300	1,032
0,2310	1,062
0,2320	1,092
0,2330	1,118
0,2340	1,144
0,2350	1,167
0,2360	1,188
0,2370	1,208
0,2380	1,225
0,2390	1,241
0,2400	1,255
0,2410	1,269
0,2420	1,280
0,2430	1,288
0,2440	1,294
0,2450	1,299
0,2460	1,301
0,2470	1,302
0,2480	1,301
0,2490	1,299
0,2500	1,294
0,2510	1,288
0,2520	1,279
0,2530	1,269
0,2540	1,255
0,2550	1,241
0,2560	1,225
0,2570	1,206
0,2580	1,186
0,2590	1,164
0,2600	1,139
0,2610	1,114
0,2620	1,085
0,2630	1,057
0,2640	1,027
0,2650	0,996
0,2660	0,963
0,2670	0,927
0,2680	0,891
0,2690	0,853
0,2700	0,814
0,2710	0,774
0,2720	0,735
0,2730	0,694
0,2740	0,652
0,2750	0,608
0,2760	0,564
0,2770	0,520
0,2780	0,474
0,2790	0,430
0,2800	0,385
0,2810	0,341
0,2820	0,295
0,2830	0,250
0,2840	0,204
0,2850	0,159
0,2860	0,115
0,2870	0,071
0,2880	0,028
0,2890	-0,016
0,2900	-0,060
0,2910	-0,102
0,2920	-0,145
0,2930	-0,184
0,2940	-0,221
0,2950	-0,259
0,2960	-0,297
0,2970	-0,333
0,2980	-0,368
0,2990	-0,401
0,3000	-0,432
0,3010	-0,462
0,3020	-0,490
0,3030	-0,517
0,3040	-0,543
0,3050	-0,567
0,3060	-0,591
0,3070	-0,609
0,3080	-0,628
0,3090	-0,644
0,3100	-0,658
0,3110	-0,672
0,3120	-0,683
0,3130	-0,693
0,3140	-0,701
0,3150	-0,705
0,3160	-0,708
0,3170	-0,710
0,3180	-0,710
0,3190	-0,708
0,3200	-0,705
0,3210	-0,701
0,3220	-0,694
0,3230	-0,685
0,3240	-0,674
0,3250	-0,660
0,3260	-0,644
0,3270	-0,627
0,3280	-0,609
0,3290	-0,589
0,3300	-0,567
0,3310	-0,542
0,3320	-0,515
0,3330	-0,487
0,3340	-0,459
0,3350	-0,429
0,3360	-0,397
0,3370	-0,364
0,3380	-0,330
0,3390	-0,294
0,3400	-0,256
0,3410	-0,218
0,3420	-0,178
0,3430	-0,138
0,3440	-0,097
0,3450	-0,055
0,3460	-0,013
0,3470	0,030
0,3480	0,074
0,3490	0,118
0,3500	0,163
0,3510	0,209
0,3520	0,256
0,3530	0,302
0,3540	0,346
0,3550	0,390
0,3560	0,435
0,3570	0,481
0,3580	0,526
0,3590	0,570
