Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
17,0000	1,565
17,0500	1,412
17,1000	0,507
17,1500	-0,314
17,2000	-0,234
17,2500	0,616
17,3000	1,412
17,3500	1,572
17,4000	0,928
17,4500	-0,068
17,5000	-0,386
17,5500	0,231
17,6000	1,151
17,6500	1,598
17,7000	1,283
17,7500	0,303
17,8000	-0,375
17,8500	-0,108
17,9000	0,804
17,9500	1,500
18,0000	1,513
18,0500	0,729
18,1000	-0,203
18,1500	-0,333
18,2000	0,413
18,2500	1,290
18,3000	1,602
18,3500	1,125
18,4000	0,112
18,4500	-0,401
18,5000	0,044
18,5500	0,980
18,6000	1,561
18,6500	1,420
18,7000	0,523
18,7500	-0,308
18,8000	-0,242
18,8500	0,598
18,9000	1,401
18,9500	1,577
19,0000	0,950
19,0500	-0,050
19,1000	-0,390
19,1500	0,210
19,2000	1,136
19,2500	1,596
19,3000	1,301
19,3500	0,327
19,4000	-0,369
19,4500	-0,126
19,5000	0,781
19,5500	1,491
19,6000	1,522
19,6500	0,754
19,7000	-0,187
19,7500	-0,342
19,8000	0,386
19,8500	1,269
19,9000	1,604
19,9500	1,155
20,0000	0,143
20,0500	-0,399
20,1000	0,019
20,1500	0,953
20,2000	1,554
20,2500	1,437
20,3000	0,553
20,3500	-0,294
20,4000	-0,258
20,4500	0,570
20,5000	1,387
20,5500	1,583
20,6000	0,977
20,6500	-0,028
20,7000	-0,394
20,7500	0,187
20,8000	1,114
20,8500	1,591
20,9000	1,323
20,9500	0,358
21,0000	-0,363
21,0500	-0,145
21,1000	0,759
21,1500	1,481
21,2000	1,530
21,2500	0,778
21,3000	-0,173
21,3500	-0,349
21,4000	0,368
21,4500	1,257
21,5000	1,604
21,5500	1,169
21,6000	0,160
21,6500	-0,397
21,7000	0,003
21,7500	0,933
21,8000	1,546
21,8500	1,451
21,9000	0,584
21,9500	-0,280
22,0000	-0,272
22,0500	0,548
22,1000	1,376
22,1500	1,587
22,2000	0,997
22,2500	-0,009
22,3000	-0,396
22,3500	0,167
22,4000	1,095
22,4500	1,590
22,5000	1,340
22,5500	0,385
22,6000	-0,355
22,6500	-0,163
22,7000	0,730
22,7500	1,469
22,8000	1,543
22,8500	0,814
22,9000	-0,151
22,9500	-0,360
23,0000	0,336
23,0500	1,233
23,1000	1,604
23,1500	1,197
23,2000	0,192
23,2500	-0,394
23,3000	-0,024
23,3500	0,906
23,4000	1,538
23,4500	1,464
23,5000	0,611
23,5500	-0,267
23,6000	-0,286
23,6500	0,522
23,7000	1,357
23,7500	1,593
23,8000	1,032
23,8500	0,020
23,9000	-0,401
23,9500	0,138
24,0000	1,073
24,0500	1,585
24,1000	1,357
24,1500	0,412
24,2000	-0,347
