Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
0,0000	-24,9
0,2000	-24,9
0,4000	-24,9
0,6000	-24,9
0,8000	-24,9
1,0000	-24,9
1,2000	-24,9
1,4000	-24,9
1,6000	-24,9
1,8000	-24,9
2,0000	-24,9
2,2000	-24,9
2,4000	-24,9
2,6000	-24,9
2,8000	-24,9
3,0000	-24,8
3,2000	-24,8
3,4000	-24,8
3,6000	-24,7
3,8000	-24,7
4,0000	-24,7
4,2000	-24,6
4,4000	-24,6
4,6000	-24,5
4,8000	-24,4
5,0000	-24,4
5,2000	-24,3
5,4000	-24,2
5,6000	-24,2
5,8000	-24,1
6,0000	-24,0
6,2000	-23,9
6,4000	-23,9
6,6000	-23,8
6,8000	-23,7
7,0000	-23,6
7,2000	-23,5
7,4000	-23,4
7,6000	-23,3
7,8000	-23,2
8,0000	-23,1
8,2000	-23,0
8,4000	-22,9
8,6000	-22,8
8,8000	-22,7
9,0000	-22,6
9,2000	-22,5
9,4000	-22,3
9,6000	-22,2
9,8000	-22,1
10,0000	-22,0
10,2000	-21,9
10,4000	-21,7
10,6000	-21,6
10,8000	-21,5
11,0000	-21,4
11,2000	-21,3
11,4000	-21,1
11,6000	-21,0
11,8000	-20,9
12,0000	-20,8
12,2000	-20,6
12,4000	-20,5
12,6000	-20,4
12,8000	-20,3
13,0000	-20,1
13,2000	-20,0
13,4000	-19,9
13,6000	-19,7
13,8000	-19,6
14,0000	-19,5
14,2000	-19,4
14,4000	-19,2
14,6000	-19,1
14,8000	-19,0
15,0000	-18,8
15,2000	-18,7
15,4000	-18,6
15,6000	-18,4
15,8000	-18,3
16,0000	-18,2
16,2000	-18,0
16,4000	-17,9
16,6000	-17,8
16,8000	-17,6
17,0000	-17,5
17,2000	-17,3
17,4000	-17,2
17,6000	-17,1
17,8000	-17,0
18,0000	-16,8
18,2000	-16,7
18,4000	-16,6
18,6000	-16,4
18,8000	-16,3
19,0000	-16,2
19,2000	-16,0
19,4000	-15,9
19,6000	-15,8
19,8000	-15,6
20,0000	-15,5
20,2000	-15,4
20,4000	-15,2
20,6000	-15,1
20,8000	-15,0
21,0000	-14,8
21,2000	-14,7
21,4000	-14,6
21,6000	-14,4
21,8000	-14,3
22,0000	-14,2
22,2000	-14,1
22,4000	-13,9
22,6000	-13,8
22,8000	-13,7
23,0000	-13,5
23,2000	-13,4
23,4000	-13,3
23,6000	-13,1
23,8000	-13,0
24,0000	-12,9
24,2000	-12,8
24,4000	-12,6
24,6000	-12,5
24,8000	-12,4
25,0000	-12,2
25,2000	-12,1
25,4000	-12,0
25,6000	-11,9
25,8000	-11,7
26,0000	-11,6
26,2000	-11,5
26,4000	-11,4
26,6000	-11,2
26,8000	-11,1
27,0000	-11,0
27,2000	-10,9
27,4000	-10,7
27,6000	-10,6
27,8000	-10,5
28,0000	-10,4
28,2000	-10,2
28,4000	-10,1
28,6000	-10,0
28,8000	-9,9
29,0000	-9,7
29,2000	-9,6
29,4000	-9,5
29,6000	-9,4
29,8000	-9,3
30,0000	-9,1
30,2000	-9,0
30,4000	-8,9
30,6000	-8,8
30,8000	-8,7
31,0000	-8,5
31,2000	-8,4
31,4000	-8,3
31,6000	-8,2
31,8000	-8,1
32,0000	-8,0
32,2000	-7,8
32,4000	-7,7
32,6000	-7,6
32,8000	-7,5
33,0000	-7,4
33,2000	-7,3
33,4000	-7,2
33,6000	-7,0
33,8000	-6,9
34,0000	-6,8
34,2000	-6,7
34,4000	-6,6
34,6000	-6,5
34,8000	-6,4
35,0000	-6,3
35,2000	-6,2
35,4000	-6,1
35,6000	-5,9
35,8000	-5,8
36,0000	-5,7
36,2000	-5,6
36,4000	-5,5
36,6000	-5,4
36,8000	-5,3
37,0000	-5,2
37,2000	-5,1
37,4000	-5,0
37,6000	-4,9
37,8000	-4,8
38,0000	-4,7
38,2000	-4,6
38,4000	-4,5
38,6000	-4,4
38,8000	-4,3
39,0000	-4,2
39,2000	-4,1
39,4000	-4,0
39,6000	-3,9
39,8000	-3,8
40,0000	-3,7
40,2000	-3,7
40,4000	-3,6
40,6000	-3,5
40,8000	-3,4
41,0000	-3,3
41,2000	-3,2
41,4000	-3,1
41,6000	-3,1
41,8000	-3,0
42,0000	-2,9
42,2000	-2,8
42,4000	-2,8
42,6000	-2,7
42,8000	-2,6
43,0000	-2,5
43,2000	-2,5
43,4000	-2,4
43,6000	-2,3
43,8000	-2,3
44,0000	-2,2
44,2000	-2,1
44,4000	-2,1
44,6000	-2,0
44,8000	-2,0
45,0000	-1,9
45,2000	-1,9
45,4000	-1,8
45,6000	-1,7
45,8000	-1,7
46,0000	-1,6
46,2000	-1,6
46,4000	-1,5
46,6000	-1,5
46,8000	-1,4
47,0000	-1,4
47,2000	-1,3
47,4000	-1,3
47,6000	-1,3
47,8000	-1,2
48,0000	-1,2
48,2000	-1,1
48,4000	-1,1
48,6000	-1,1
48,8000	-1,0
49,0000	-1,0
49,2000	-1,0
49,4000	-0,9
49,6000	-0,9
49,8000	-0,9
50,0000	-0,8
50,2000	-0,8
50,4000	-0,8
50,6000	-0,7
50,8000	-0,7
51,0000	-0,7
51,2000	-0,7
51,4000	-0,6
51,6000	-0,6
51,8000	-0,6
52,0000	-0,6
52,2000	-0,5
52,4000	-0,5
52,6000	-0,5
52,8000	-0,5
53,0000	-0,5
53,2000	-0,4
53,4000	-0,4
53,6000	-0,4
53,8000	-0,4
54,0000	-0,4
54,2000	-0,3
54,4000	-0,3
54,6000	-0,3
54,8000	-0,3
55,0000	-0,3
55,2000	-0,3
55,4000	-0,3
55,6000	-0,2
55,8000	-0,2
56,0000	-0,2
56,2000	-0,2
56,4000	-0,2
56,6000	-0,2
56,8000	-0,2
57,0000	-0,2
57,2000	-0,1
57,4000	-0,1
57,6000	-0,1
57,8000	-0,1
58,0000	-0,1
58,2000	-0,1
58,4000	-0,1
58,6000	-0,1
58,8000	-0,1
59,0000	-0,1
59,2000	0,0
59,4000	0,0
59,6000	0,0
59,8000	0,0
60,0000	0,0
60,2000	0,0
60,4000	0,0
60,6000	0,0
60,8000	0,0
61,0000	0,0
61,2000	0,0
61,4000	0,0
61,6000	0,0
61,8000	0,0
62,0000	0,0
62,2000	0,1
62,4000	0,1
62,6000	0,1
62,8000	0,1
63,0000	0,1
63,2000	0,1
63,4000	0,1
63,6000	0,1
63,8000	0,1
64,0000	0,1
64,2000	0,1
64,4000	0,1
64,6000	0,1
64,8000	0,1
65,0000	0,1
65,2000	0,1
65,4000	0,1
65,6000	0,1
65,8000	0,1
66,0000	0,1
66,2000	0,2
66,4000	0,2
66,6000	0,2
66,8000	0,2
67,0000	0,2
67,2000	0,2
67,4000	0,2
67,6000	0,2
67,8000	0,2
68,0000	0,2
68,2000	0,2
68,4000	0,2
68,6000	0,2
68,8000	0,2
69,0000	0,2
69,2000	0,2
69,4000	0,2
69,6000	0,2
69,8000	0,2
70,0000	0,2
70,2000	0,2
70,4000	0,2
70,6000	0,2
70,8000	0,2
71,0000	0,2
71,2000	0,2
71,4000	0,2
71,6000	0,2
71,8000	0,2
72,0000	0,2
72,2000	0,2
72,4000	0,2
72,6000	0,2
72,8000	0,3
73,0000	0,3
73,2000	0,3
73,4000	0,3
73,6000	0,3
73,8000	0,3
74,0000	0,3
74,2000	0,3
74,4000	0,3
