Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
0,0000	22,2
0,5000	22,2
1,0000	22,2
1,5000	22,2
2,0000	22,2
2,5000	22,2
3,0000	22,2
3,5000	22,2
4,0000	22,2
4,5000	22,2
5,0000	22,2
5,5000	22,2
6,0000	22,2
6,5000	22,2
7,0000	22,2
7,5000	22,2
8,0000	22,2
8,5000	22,2
9,0000	22,2
9,5000	22,2
10,0000	22,2
10,5000	22,2
11,0000	22,2
11,5000	22,2
12,0000	22,2
12,5000	22,2
13,0000	22,2
13,5000	22,2
14,0000	22,2
14,5000	22,2
15,0000	22,2
15,5000	22,2
16,0000	22,2
16,5000	22,2
17,0000	22,2
17,5000	22,2
18,0000	22,2
18,5000	22,2
19,0000	22,2
19,5000	22,2
20,0000	22,2
20,5000	22,2
21,0000	22,2
21,5000	22,2
22,0000	22,2
22,5000	22,2
23,0000	22,2
23,5000	22,2
24,0000	22,2
24,5000	22,2
25,0000	22,2
25,5000	22,2
26,0000	22,2
26,5000	22,2
27,0000	22,2
27,5000	22,2
28,0000	22,2
28,5000	22,2
29,0000	22,2
29,5000	22,2
30,0000	22,2
30,5000	22,2
31,0000	22,2
31,5000	22,2
32,0000	22,2
32,5000	22,2
33,0000	22,2
33,5000	22,2
34,0000	22,2
34,5000	22,2
35,0000	22,2
35,5000	22,2
36,0000	22,2
36,5000	22,2
37,0000	22,2
0,0000	22,2
0,1000	22,2
0,2000	22,2
0,3000	22,2
0,4000	22,2
0,5000	22,2
0,6000	22,2
0,7000	22,2
0,8000	22,2
0,9000	22,2
1,0000	22,2
1,1000	22,2
1,2000	22,2
1,3000	22,2
1,4000	22,2
1,5000	22,2
1,6000	22,2
1,7000	22,2
1,8000	22,2
1,9000	22,2
2,0000	22,2
2,1000	22,2
2,2000	22,2
2,3000	22,2
2,4000	22,2
2,5000	22,2
2,6000	22,2
2,7000	22,2
2,8000	22,2
2,9000	22,2
3,0000	22,2
3,1000	22,2
3,2000	22,2
3,3000	22,2
3,4000	22,2
3,5000	22,2
3,6000	22,2
3,7000	22,2
3,8000	22,2
3,9000	22,2
4,0000	22,2
4,1000	22,2
4,2000	22,2
4,3000	22,2
4,4000	22,2
4,5000	22,2
4,6000	22,2
4,7000	22,2
4,8000	22,2
4,9000	22,2
5,0000	22,2
5,1000	22,2
5,2000	22,2
5,3000	22,2
5,4000	22,2
5,5000	22,2
5,6000	22,2
5,7000	22,2
5,8000	22,2
5,9000	22,2
6,0000	22,2
6,1000	22,2
6,2000	22,2
6,3000	22,2
6,4000	22,2
6,5000	22,2
6,6000	22,2
6,7000	22,2
6,8000	22,2
6,9000	22,2
7,0000	22,2
7,1000	22,2
7,2000	22,2
7,3000	22,2
7,4000	22,2
7,5000	22,2
7,6000	22,2
7,7000	22,2
7,8000	22,2
7,9000	22,2
8,0000	22,2
8,1000	22,2
8,2000	22,2
8,3000	22,2
8,4000	22,2
8,5000	22,2
8,6000	22,2
8,7000	22,2
8,8000	22,2
8,9000	22,2
9,0000	22,2
9,1000	22,2
9,2000	22,2
9,3000	22,2
9,4000	22,2
9,5000	22,2
9,6000	22,2
9,7000	22,2
9,8000	22,2
9,9000	22,2
10,0000	22,2
10,1000	22,2
10,2000	22,2
10,3000	22,2
10,4000	22,2
10,5000	22,2
10,6000	22,2
10,7000	22,2
10,8000	22,2
10,9000	22,2
11,0000	22,2
11,1000	22,2
11,2000	22,2
11,3000	22,2
11,4000	22,2
11,5000	22,2
11,6000	22,2
11,7000	22,2
11,8000	22,2
11,9000	22,2
12,0000	22,2
12,1000	22,2
12,2000	22,2
12,3000	22,2
12,4000	22,2
12,5000	22,2
12,6000	22,2
12,7000	22,2
12,8000	22,2
12,9000	22,2
13,0000	22,2
13,1000	22,2
13,2000	22,2
13,3000	22,2
13,4000	22,2
13,5000	22,2
13,6000	22,2
13,7000	22,2
13,8000	22,2
13,9000	22,2
14,0000	22,2
14,1000	22,2
14,2000	22,2
14,3000	22,2
14,4000	22,2
14,5000	22,2
14,6000	22,2
14,7000	22,2
14,8000	22,2
14,9000	22,2
15,0000	22,2
15,1000	22,2
15,2000	22,2
15,3000	22,2
15,4000	22,2
15,5000	22,2
15,6000	22,2
15,7000	22,2
15,8000	22,2
15,9000	22,2
16,0000	22,2
16,1000	22,2
16,2000	22,2
16,3000	22,2
16,4000	22,2
16,5000	22,2
16,6000	22,2
16,7000	22,2
16,8000	22,2
16,9000	22,2
17,0000	22,2
17,1000	22,2
17,2000	22,2
17,3000	22,2
17,4000	22,2
17,5000	22,2
17,6000	22,2
17,7000	22,2
17,8000	22,2
17,9000	22,2
18,0000	22,2
18,1000	22,2
18,2000	22,2
18,3000	22,2
18,4000	22,2
18,5000	22,2
18,6000	22,2
18,7000	22,2
18,8000	22,2
18,9000	22,2
19,0000	22,2
19,1000	22,2
19,2000	22,2
19,3000	22,2
19,4000	22,2
19,5000	22,2
19,6000	22,2
19,7000	22,2
19,8000	22,2
19,9000	22,2
20,0000	22,2
20,1000	22,2
20,2000	22,2
20,3000	22,2
20,4000	22,2
20,5000	22,2
20,6000	22,2
20,7000	22,2
20,8000	22,2
20,9000	22,2
21,0000	22,2
21,1000	22,2
21,2000	22,2
21,3000	22,2
21,4000	22,2
21,5000	22,2
21,6000	22,2
21,7000	22,2
21,8000	22,2
21,9000	22,2
22,0000	22,2
22,1000	22,2
22,2000	22,2
22,3000	22,2
22,4000	22,2
22,5000	22,2
22,6000	22,2
22,7000	22,2
