Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
34,2000	16,6
34,4000	16,6
34,6000	16,6
34,8000	16,5
35,0000	16,5
35,2000	16,5
35,4000	16,4
35,6000	16,4
35,8000	16,4
36,0000	16,3
36,2000	16,3
36,4000	16,2
36,6000	16,2
36,8000	16,2
37,0000	16,1
37,2000	16,1
37,4000	16,1
37,6000	16,0
37,8000	16,0
38,0000	16,0
38,2000	15,9
38,4000	15,9
38,6000	15,9
38,8000	15,8
39,0000	15,8
39,2000	15,8
39,4000	15,7
39,6000	15,7
39,8000	15,6
40,0000	15,6
40,2000	15,6
40,4000	15,5
40,6000	15,5
40,8000	15,5
41,0000	15,4
41,2000	15,4
41,4000	15,4
41,6000	15,3
41,8000	15,3
42,0000	15,3
42,2000	15,2
42,4000	15,2
42,6000	15,2
42,8000	15,1
43,0000	15,1
43,2000	15,1
43,4000	15,0
43,6000	15,0
43,8000	15,0
44,0000	14,9
44,2000	14,9
44,4000	14,8
44,6000	14,8
44,8000	14,8
45,0000	14,7
45,2000	14,7
45,4000	14,7
45,6000	14,6
45,8000	14,6
46,0000	14,6
46,2000	14,5
46,4000	14,5
46,6000	14,5
46,8000	14,4
47,0000	14,4
47,2000	14,4
47,4000	14,3
47,6000	14,3
47,8000	14,3
48,0000	14,2
48,2000	14,2
48,4000	14,1
48,6000	14,1
48,8000	14,1
49,0000	14,0
49,2000	14,0
49,4000	14,0
49,6000	13,9
49,8000	13,9
50,0000	13,9
50,2000	13,8
50,4000	13,8
50,6000	13,8
50,8000	13,7
51,0000	13,7
51,2000	13,7
51,4000	13,6
51,6000	13,6
51,8000	13,6
52,0000	13,5
52,2000	13,5
52,4000	13,5
52,6000	13,4
52,8000	13,4
53,0000	13,4
53,2000	13,3
53,4000	13,3
53,6000	13,3
53,8000	13,2
54,0000	13,2
54,2000	13,2
54,4000	13,1
54,6000	13,1
54,8000	13,0
55,0000	13,0
55,2000	13,0
55,4000	13,0
55,6000	12,9
55,8000	12,9
56,0000	12,8
56,2000	12,8
56,4000	12,8
56,6000	12,7
56,8000	12,7
57,0000	12,7
57,2000	12,6
57,4000	12,6
57,6000	12,6
57,8000	12,5
58,0000	12,5
58,2000	12,5
58,4000	12,5
58,6000	12,4
58,8000	12,4
59,0000	12,4
59,2000	12,3
59,4000	12,3
59,6000	12,3
59,8000	12,2
60,0000	12,2
60,2000	12,2
60,4000	12,1
60,6000	12,1
60,8000	12,1
61,0000	12,0
61,2000	12,0
61,4000	12,0
61,6000	11,9
61,8000	11,9
62,0000	11,9
62,2000	11,8
62,4000	11,8
62,6000	11,8
62,8000	11,7
63,0000	11,7
63,2000	11,7
63,4000	11,6
63,6000	11,6
63,8000	11,6
64,0000	11,5
64,2000	11,5
64,4000	11,5
64,6000	11,5
64,8000	11,4
65,0000	11,4
65,2000	11,4
65,4000	11,3
65,6000	11,3
65,8000	11,3
66,0000	11,2
66,2000	11,2
66,4000	11,2
66,6000	11,1
66,8000	11,1
67,0000	11,1
67,2000	11,0
67,4000	11,0
67,6000	11,0
67,8000	11,0
68,0000	10,9
68,2000	10,9
68,4000	10,9
68,6000	10,8
68,8000	10,8
69,0000	10,8
69,2000	10,7
69,4000	10,7
69,6000	10,7
69,8000	10,6
70,0000	10,6
70,2000	10,6
70,4000	10,6
70,6000	10,5
70,8000	10,5
71,0000	10,5
71,2000	10,4
71,4000	10,4
71,6000	10,4
71,8000	10,3
72,0000	10,3
72,2000	10,3
72,4000	10,2
72,6000	10,2
72,8000	10,2
73,0000	10,2
73,2000	10,1
73,4000	10,1
73,6000	10,1
73,8000	10,0
74,0000	10,0
74,2000	10,0
74,4000	9,9
74,6000	9,9
74,8000	9,9
75,0000	9,9
75,2000	9,8
75,4000	9,8
75,6000	9,8
75,8000	9,7
76,0000	9,7
76,2000	9,7
76,4000	9,6
76,6000	9,6
76,8000	9,6
77,0000	9,5
77,2000	9,5
77,4000	9,5
77,6000	9,5
77,8000	9,4
78,0000	9,4
78,2000	9,4
78,4000	9,3
78,6000	9,3
78,8000	9,3
79,0000	9,2
79,2000	9,2
79,4000	9,2
79,6000	9,2
79,8000	9,1
80,0000	9,1
80,2000	9,1
80,4000	9,0
80,6000	9,0
80,8000	9,0
81,0000	8,9
81,2000	8,9
81,4000	8,9
81,6000	8,9
81,8000	8,8
