3	0.05	1.8481608987	0.0135278291
2.5	0.05	1.8117854002	0.0129909056
2	0.05	1.8236016132	0.0129957176
1.5	0.05	1.8305084746	0.0125877388
1	0.05	1.8010435954	0.0123912563
.5	0.05	1.8266413924	0.0127833737
