X	Y
0.000	1.000000
8.232	0.447640
16.464	0.112262
24.696	0.035780
32.928	0.080225
41.160	0.058069
49.392	0.041448
57.625	0.024922
65.857	0.025652
74.089	0.018896
82.321	0.015855
90.553	0.006492
98.785	0.004387
107.017	0.005980
115.249	0.003930
123.481	0.006481
131.713	0.005628
139.945	0.005705
148.177	0.007391
156.409	0.007448
164.641	0.001982
172.874	0.002629
181.106	0.002429
189.338	0.004636
197.570	0.004743
205.802	0.006520
214.034	0.005844
222.266	0.003244
230.498	0.003217
238.730	0.004175
246.962	0.007177
255.194	0.004716
263.426	0.004832
271.658	0.004094
279.891	0.005383
288.123	0.003010
296.355	0.001778
304.587	0.001836
312.819	0.002805
321.051	0.002833
329.283	0.002187
337.515	0.001632
345.747	0.000334
353.979	0.000799
362.211	0.000467
370.443	0.001524
378.675	0.001350
386.908	0.000926
395.140	0.000740
403.372	0.000702
411.604	0.000509
419.836	0.000415
428.068	0.000268
436.300	0.000059
444.532	0.000234
452.764	0.000193
460.996	0.000172
469.228	0.000145
477.460	0.000271
485.692	0.000337
493.924	0.000293
502.157	0.000228
510.389	0.000174
518.621	0.000213
