X	Y
0.000	1.000000
8.232	0.666159
16.464	0.320263
24.696	0.244292
32.928	0.183017
41.160	0.151357
49.392	0.117521
57.625	0.097417
65.857	0.070592
74.089	0.058132
82.321	0.037831
90.553	0.029037
98.785	0.017017
107.017	0.016499
115.249	0.010383
123.481	0.012184
131.713	0.007597
139.945	0.007441
148.177	0.005251
156.409	0.006937
164.641	0.002885
172.874	0.002946
181.106	0.002950
189.338	0.005628
197.570	0.002692
205.802	0.002321
214.034	0.007658
222.266	0.005780
230.498	0.006552
238.730	0.007671
246.962	0.004238
255.194	0.005391
263.426	0.002500
271.658	0.004441
279.891	0.004571
288.123	0.005062
296.355	0.002470
304.587	0.002946
312.819	0.000830
321.051	0.001586
329.283	0.003404
337.515	0.002188
345.747	0.002361
353.979	0.000700
362.211	0.003250
370.443	0.001780
378.675	0.003291
386.908	0.001134
395.140	0.002488
403.372	0.001022
411.604	0.002650
419.836	0.001307
428.068	0.002929
436.300	0.001479
444.532	0.002957
452.764	0.001515
460.996	0.002911
469.228	0.001488
477.460	0.002896
485.692	0.001351
493.924	0.002750
502.157	0.001171
510.389	0.002599
518.621	0.001093
