X	Y
0.000	1.000000
8.232	0.933537
16.464	0.836427
24.696	0.704344
32.928	0.581729
41.160	0.468821
49.392	0.355129
57.625	0.257618
65.857	0.176949
74.089	0.119405
82.321	0.087493
90.553	0.061081
98.785	0.044880
107.017	0.030966
115.249	0.020972
123.481	0.011488
131.713	0.004607
139.945	0.003219
148.177	0.005534
156.409	0.008520
164.641	0.008636
172.874	0.008701
181.106	0.007713
189.338	0.010013
197.570	0.013063
205.802	0.014976
214.034	0.012348
222.266	0.006759
230.498	0.002831
238.730	0.004374
246.962	0.007030
255.194	0.003959
263.426	0.001250
271.658	0.002115
279.891	0.004187
288.123	0.002284
296.355	0.001946
304.587	0.005036
312.819	0.007233
321.051	0.007788
329.283	0.006393
337.515	0.004822
345.747	0.003537
353.979	0.002649
362.211	0.002044
370.443	0.001508
378.675	0.001608
386.908	0.001438
395.140	0.001589
403.372	0.001637
411.604	0.001628
419.836	0.001596
428.068	0.001420
436.300	0.001757
444.532	0.002084
452.764	0.002517
460.996	0.002827
469.228	0.002899
477.460	0.002655
485.692	0.002202
493.924	0.001774
502.157	0.001420
510.389	0.001393
518.621	0.001293
