X	Y
0.000	1.000000
8.232	0.821302
16.464	0.658838
24.696	0.562443
32.928	0.489077
41.160	0.412971
49.392	0.332361
57.625	0.257757
65.857	0.188496
74.089	0.128787
82.321	0.090329
90.553	0.062971
98.785	0.048520
107.017	0.034317
115.249	0.021298
123.481	0.011220
131.713	0.006100
139.945	0.007258
148.177	0.007430
156.409	0.011100
164.641	0.008060
172.874	0.006645
181.106	0.005703
189.338	0.006216
197.570	0.008936
205.802	0.004711
214.034	0.006133
222.266	0.003974
230.498	0.004306
238.730	0.010394
246.962	0.006982
255.194	0.001720
263.426	0.002808
271.658	0.002235
279.891	0.004929
288.123	0.006831
296.355	0.003382
304.587	0.001401
312.819	0.003961
321.051	0.003271
329.283	0.004638
337.515	0.002977
345.747	0.002474
353.979	0.000792
362.211	0.002002
370.443	0.000613
378.675	0.001422
386.908	0.000593
395.140	0.000980
403.372	0.001271
411.604	0.000885
419.836	0.001988
428.068	0.001594
436.300	0.002555
444.532	0.002477
452.764	0.003124
460.996	0.003063
469.228	0.002997
477.460	0.002608
485.692	0.001942
493.924	0.001967
502.157	0.001103
510.389	0.001816
518.621	0.000959
