X	Y
0.000	1.000000
8.232	0.920960
16.464	0.819232
24.696	0.727858
32.928	0.648059
41.160	0.563896
49.392	0.469109
57.625	0.371284
65.857	0.272125
74.089	0.180590
82.321	0.105615
90.553	0.056489
98.785	0.028082
107.017	0.025167
115.249	0.027702
123.481	0.024056
131.713	0.016352
139.945	0.010506
148.177	0.009486
156.409	0.009286
164.641	0.008974
172.874	0.008018
181.106	0.010781
189.338	0.007570
197.570	0.006708
205.802	0.004289
214.034	0.008968
222.266	0.009755
230.498	0.010829
238.730	0.012924
246.962	0.008395
255.194	0.006348
263.426	0.004180
271.658	0.002209
279.891	0.004206
288.123	0.007015
296.355	0.004139
304.587	0.004417
312.819	0.005036
321.051	0.002854
329.283	0.003749
337.515	0.004195
345.747	0.005105
353.979	0.003890
362.211	0.003690
370.443	0.003426
378.675	0.003586
386.908	0.003405
395.140	0.003971
403.372	0.004205
411.604	0.004237
419.836	0.003485
428.068	0.003066
436.300	0.002986
444.532	0.003198
452.764	0.003899
460.996	0.003958
469.228	0.003824
477.460	0.003207
485.692	0.002561
493.924	0.002284
502.157	0.001858
510.389	0.002152
518.621	0.001818
