X	Y
0.000	1.000000
8.232	0.951239
16.464	0.882075
24.696	0.804320
32.928	0.735006
41.160	0.664972
49.392	0.595618
57.625	0.511780
65.857	0.433548
74.089	0.351138
82.321	0.278636
90.553	0.214338
98.785	0.166927
107.017	0.128148
115.249	0.102954
123.481	0.082061
131.713	0.067366
139.945	0.050482
148.177	0.036451
156.409	0.021394
164.641	0.009586
172.874	0.001176
181.106	0.004284
189.338	0.010077
197.570	0.011185
205.802	0.010481
214.034	0.007340
222.266	0.010645
230.498	0.009537
238.730	0.007842
246.962	0.002671
255.194	0.003054
263.426	0.008322
271.658	0.010759
279.891	0.009425
288.123	0.004225
296.355	0.003244
304.587	0.003039
312.819	0.004609
321.051	0.003831
329.283	0.003687
337.515	0.004523
345.747	0.006385
353.979	0.007522
362.211	0.008597
370.443	0.009617
378.675	0.010375
386.908	0.010930
395.140	0.010983
403.372	0.010653
411.604	0.010191
419.836	0.009743
428.068	0.009361
436.300	0.009142
444.532	0.008840
452.764	0.008492
460.996	0.007903
469.228	0.007198
477.460	0.006754
485.692	0.006277
493.924	0.006315
502.157	0.006098
510.389	0.006309
518.621	0.006109
