X	Y
0.000	1.000000
8.232	0.932925
16.464	0.812853
24.696	0.676672
32.928	0.551987
41.160	0.443508
49.392	0.337085
57.625	0.240510
65.857	0.158876
74.089	0.101727
82.321	0.062454
90.553	0.040794
98.785	0.028156
107.017	0.015610
115.249	0.008523
123.481	0.005854
131.713	0.010632
139.945	0.010375
148.177	0.010325
156.409	0.008230
164.641	0.009445
172.874	0.009554
181.106	0.013475
189.338	0.014571
197.570	0.016008
205.802	0.013197
214.034	0.013547
222.266	0.012999
230.498	0.012810
238.730	0.014987
246.962	0.013063
255.194	0.012936
263.426	0.011591
271.658	0.011446
279.891	0.010320
288.123	0.010439
296.355	0.007977
304.587	0.007278
312.819	0.006626
321.051	0.005816
329.283	0.006090
337.515	0.004983
345.747	0.003960
353.979	0.002434
362.211	0.002084
370.443	0.001456
378.675	0.001738
386.908	0.001471
395.140	0.001332
403.372	0.000733
411.604	0.000607
419.836	0.000956
428.068	0.001214
436.300	0.001519
444.532	0.001683
452.764	0.002190
460.996	0.002341
469.228	0.002466
477.460	0.002142
485.692	0.001683
493.924	0.001070
502.157	0.000582
510.389	0.000293
518.621	0.000115
