X	Y
0.000	1.000000
8.232	0.941315
16.464	0.860414
24.696	0.780888
32.928	0.711660
41.160	0.644886
49.392	0.570800
57.625	0.491139
65.857	0.409926
74.089	0.331620
82.321	0.258895
90.553	0.190305
98.785	0.141663
107.017	0.103778
115.249	0.077341
123.481	0.060641
131.713	0.050803
139.945	0.040657
148.177	0.033638
156.409	0.027451
164.641	0.024698
172.874	0.018845
181.106	0.016604
189.338	0.012322
197.570	0.009499
205.802	0.006972
214.034	0.004417
222.266	0.000890
230.498	0.002519
238.730	0.006949
246.962	0.008426
255.194	0.009359
263.426	0.014283
271.658	0.009847
279.891	0.007924
288.123	0.008858
296.355	0.005201
304.587	0.005671
312.819	0.004302
321.051	0.004660
329.283	0.006792
337.515	0.006898
345.747	0.007486
353.979	0.007685
362.211	0.009205
370.443	0.009396
378.675	0.009452
386.908	0.009362
395.140	0.008963
403.372	0.008434
411.604	0.007487
419.836	0.007434
428.068	0.007066
436.300	0.007314
444.532	0.007182
452.764	0.007097
460.996	0.006359
469.228	0.005624
477.460	0.004919
485.692	0.004186
493.924	0.004174
502.157	0.003734
510.389	0.004106
518.621	0.003712
