X	Y
0.000	1.000000
8.232	0.951926
16.464	0.876615
24.696	0.795486
32.928	0.712735
41.160	0.625485
49.392	0.533955
57.625	0.437509
65.857	0.342778
74.089	0.253748
82.321	0.180997
90.553	0.124970
98.785	0.085136
107.017	0.059623
115.249	0.040525
123.481	0.029176
131.713	0.023071
139.945	0.016928
148.177	0.012836
156.409	0.008533
164.641	0.005473
172.874	0.001818
181.106	0.001673
189.338	0.004198
197.570	0.005687
205.802	0.009890
214.034	0.012337
222.266	0.008061
230.498	0.007368
238.730	0.011532
246.962	0.014200
255.194	0.009723
263.426	0.007851
271.658	0.008600
279.891	0.011413
288.123	0.009063
296.355	0.007116
304.587	0.007789
312.819	0.008485
321.051	0.006647
329.283	0.005215
337.515	0.005006
345.747	0.003784
353.979	0.003267
362.211	0.002979
370.443	0.004050
378.675	0.004508
386.908	0.004657
395.140	0.004667
403.372	0.004476
411.604	0.004156
419.836	0.004248
428.068	0.004244
436.300	0.004788
444.532	0.005176
452.764	0.005566
460.996	0.005416
469.228	0.004993
477.460	0.004315
485.692	0.003615
493.924	0.003346
502.157	0.003018
510.389	0.003189
518.621	0.002981
