p	V
147.440000	250.399202
146.100000	252.005988
144.510000	253.892216
142.970000	255.778443
141.740000	257.664671
140.100000	259.481038
138.920000	261.367265
137.360000	263.253493
135.820000	265.209581
134.550000	267.095808
132.920000	268.912176
131.470000	270.798403
130.200000	272.754491
128.800000	274.640719
127.300000	276.526946
126.240000	278.343313
124.880000	280.229541
123.720000	281.976048
122.510000	283.862275
121.200000	285.748503
120.160000	287.564870
118.890000	289.381238
117.780000	291.127745
116.860000	292.874251
115.600000	294.620758
114.710000	296.367265
113.640000	298.043912
112.650000	299.650699
111.750000	301.327345
110.750000	302.934132
109.800000	304.471058
109.030000	306.007984
108.040000	307.544910
107.200000	309.081836
106.540000	310.548902
105.670000	311.946108
105.020000	313.273453
104.320000	314.600798
103.530000	315.928144
102.930000	317.185629
102.240000	318.512974
101.590000	319.770459
101.030000	320.818363
100.450000	321.936128
99.910000	323.053892
99.370000	324.031936
98.790000	325.149701
98.380000	325.988024
97.900000	326.896208
97.480000	327.734531
97.110000	328.502994
96.680000	329.271457
96.230000	329.970060
95.850000	330.598802
95.540000	331.297405
95.280000	331.926148
94.870000	332.345309
94.580000	332.834331
94.340000	333.253493
94.100000	333.602794
93.890000	334.021956
93.640000	334.231537
93.450000	334.580838
93.290000	334.790419
93.100000	334.860279
92.920000	335.000000
92.810000	335.000000
92.710000	335.000000
92.540000	335.000000
92.500000	334.860279
92.440000	334.790419
92.440000	334.650699
92.360000	334.441118
92.370000	334.231537
92.380000	333.882236
92.400000	333.602794
92.460000	333.113772
92.550000	332.554890
92.630000	332.065868
92.720000	331.506986
92.810000	330.948104
92.990000	330.249501
93.130000	329.620758
93.310000	328.852295
93.540000	328.083832
93.710000	327.175649
93.970000	326.337325
94.220000	325.359281
94.430000	324.381238
94.730000	323.333333
94.990000	322.285429
95.350000	321.167665
95.680000	320.049900
96.010000	319.001996
96.450000	317.744511
96.770000	316.556886
97.120000	315.159681
97.550000	313.832335
97.950000	312.504990
98.430000	311.107784
98.980000	309.780439
99.400000	308.243513
99.970000	306.776447
100.570000	305.239521
101.010000	303.702595
101.680000	302.095808
102.220000	300.419162
102.910000	298.812375
103.590000	297.135729
104.210000	295.459082
104.930000	293.852295
105.730000	292.175649
106.370000	290.429142
107.220000	288.682635
107.950000	286.796407
108.840000	285.049900
109.740000	283.233533
110.500000	281.347305
111.510000	279.600798
112.500000	277.714571
113.350000	275.828343
114.370000	274.011976
115.250000	272.125749
116.320000	270.239521
117.500000	268.283433
118.480000	266.397206
119.630000	264.650699
120.900000	262.764471
121.870000	260.948104
123.180000	259.061876
124.300000	257.175649
125.630000	255.359281
126.990000	253.473054
128.100000	251.586826
129.530000	249.840319
131.050000	247.954092
132.230000	246.207585
133.640000	244.321357
134.900000	242.574850
136.310000	240.968064
137.940000	239.221557
139.290000	237.544910
140.800000	235.798403
142.400000	234.121756
143.740000	232.514970
145.450000	230.978044
147.120000	229.301397
148.380000	227.764471
150.120000	226.227545
151.790000	224.830339
153.140000	223.363273
154.950000	221.966068
156.280000	220.568862
157.940000	219.101796
159.540000	217.774451
160.980000	216.516966
162.440000	215.189621
164.140000	213.932136
165.520000	212.884232
167.080000	211.626747
168.610000	210.578842
169.790000	209.461078
171.420000	208.483034
172.950000	207.504990
174.130000	206.526946
175.620000	205.479042
176.810000	204.640719
178.160000	203.872255
179.480000	202.964072
180.630000	202.195609
181.880000	201.566866
183.060000	200.798403
184.010000	200.099800
185.090000	199.610778
186.200000	198.912176
186.980000	198.353293
187.930000	197.934132
188.870000	197.514970
189.530000	197.025948
190.500000	196.746507
191.070000	196.397206
191.700000	196.047904
192.400000	195.838323
193.010000	195.628743
193.580000	195.419162
194.070000	195.279441
194.310000	195.209581
194.720000	195.069860
195.090000	195.069860
195.200000	195.000000
195.470000	195.069860
195.580000	195.209581
195.650000	195.279441
195.700000	195.419162
195.750000	195.628743
195.730000	195.838323
195.620000	196.187625
195.420000	196.536926
195.330000	196.816367
195.030000	197.305389
194.750000	197.584830
194.330000	198.073852
193.970000	198.562874
193.540000	199.121756
192.910000	199.820359
192.530000	200.449102
191.820000	201.147705
191.230000	201.776447
190.550000	202.544910
189.830000	203.313373
189.010000	204.221557
188.320000	205.059880
187.320000	206.037924
186.360000	206.946108
185.550000	207.924152
184.400000	209.041916
183.590000	210.019960
182.500000	211.137725
181.290000	212.325349
180.340000	213.443114
179.130000	214.630739
177.880000	215.958084
176.840000	217.145709
175.530000	218.473054
174.240000	219.870259
173.180000	221.337325
171.780000	222.734531
170.500000	224.131737
169.370000	225.598802
167.830000	227.135729
166.690000	228.672655
165.340000	230.209581
164.030000	231.746507
162.830000	233.353293
160.670000	235.029940
159.060000	236.776447
157.710000	238.453094
