p	V
196.350000	205.398804
195.090000	206.724826
193.750000	208.120638
192.090000	209.656032
190.330000	211.331007
188.870000	212.936191
186.950000	214.820538
184.940000	216.704885
183.140000	218.659023
181.140000	220.752742
179.460000	222.846461
177.180000	225.009970
174.800000	227.243270
172.990000	229.546361
170.800000	231.849452
168.380000	234.222333
166.540000	236.665005
164.450000	239.037886
162.070000	241.689930
159.520000	244.202393
156.910000	246.854437
154.890000	249.506481
152.480000	252.088734
149.930000	254.740778
147.630000	257.392822
145.310000	260.114656
142.610000	262.836491
140.820000	265.558325
138.380000	268.349950
136.200000	271.071785
134.400000	273.723829
132.220000	276.306082
129.870000	278.958126
128.110000	281.679960
126.010000	284.332004
124.320000	286.984048
122.390000	289.496510
120.740000	292.008973
119.150000	294.451645
117.270000	296.824526
115.650000	299.267198
114.350000	301.570289
112.690000	303.873380
111.430000	306.176471
110.060000	308.200399
108.530000	310.294118
107.460000	312.318046
106.270000	314.272183
104.990000	316.156530
104.090000	317.901296
103.000000	319.646062
102.090000	321.251246
101.220000	322.786640
100.180000	324.252243
99.480000	325.648056
98.590000	326.904287
97.810000	328.160518
97.170000	329.277168
96.590000	330.254237
96.010000	331.161515
95.390000	331.929212
94.840000	332.696909
94.470000	333.325025
93.950000	333.883350
93.550000	334.232303
93.270000	334.511466
92.920000	334.790628
92.690000	335.000000
92.490000	335.000000
92.270000	335.000000
92.140000	334.860419
92.020000	334.790628
91.940000	334.441675
91.870000	334.092722
91.900000	333.534397
91.940000	332.976072
91.980000	332.208375
92.060000	331.440678
92.240000	330.603190
92.390000	329.626122
92.610000	328.649053
92.820000	327.392822
93.080000	326.206381
93.460000	324.880359
93.800000	323.484546
94.220000	322.018943
94.710000	320.413759
95.100000	318.738784
95.720000	316.924227
96.130000	315.039880
96.780000	313.155533
97.460000	311.201396
98.060000	309.247258
98.870000	307.153539
99.600000	304.920239
100.300000	302.756730
101.240000	300.453639
101.890000	298.010967
102.880000	295.638086
103.900000	293.195414
104.690000	290.822532
105.850000	288.379860
107.070000	285.727817
108.140000	283.145563
109.450000	280.493519
110.950000	277.841476
112.060000	275.259222
113.590000	272.607178
114.940000	269.885344
116.600000	267.233300
118.250000	264.511466
119.600000	261.719840
121.430000	259.137587
123.280000	256.345962
124.780000	253.624128
